type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_variation_option_Size
product,1,14.84,Veiligheidspet EN812,100% twillkatoen. Voldoet aan de norm EN812. Zweetband van 100% Coolmax® polyester. Binnenschelp van polycarbonaat. Afneembare cover. Ringetjes met mesh.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219817&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Beechfield,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219817&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206583&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196645&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196650&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196649&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,1,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,1,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,1,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_variation,1,14.84,,,,,,,,,,,,B525_70606_70605,Black,,,,,,One Size
product_variation,1,14.84,,,,,,,,,,,,B525_70607_70605,French Navy,,,,,,
product,2,5.5,Pet Rapper 5 panelen,100% twillkatoen. Platte zonneklep. Regelbaar met plastic Snapback-retrotong. Tearaway etiket om het merk gemakkelijker te vervangen.<br/>,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219814&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Beechfield,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219814&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,2,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,2,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,2,,,,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,
