type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23
product,451,7.36,Duurzame heren tank top,"100% katoen (behalve de kleur Oxford Grey: 90% katoen en 10% viscose). Alle kleuren zijn gemaakt van biologisch katoen in conversie. Jersey. Cut-and-sew-techniek. Gekamd katoen. Fitted pasvorm. Ronde hals. De mouw- en halsopening zijn toon-op-toon afgewerkt met de hoofdstof. De boord onderaan kreeg een dubbel stiksel. Geen merklabel, maar een maatlabel in de kraag voor eenvoudige personalisatie.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=377117&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Top,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377117&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377116&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377114&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377110&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377106&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377112&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377115&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377113&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377111&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377109&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377108&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377107&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402061&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402060&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Grey,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,451,,,,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80233_80214,Black,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80233_80218,Black,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80233_80220,Black,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80233_80224,Black,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80233_80226,Black,,,,,,,,,,,,,
product_variation,451,9.1,,,,,,,,,,,,,,,,,,,,,K3023ICCX_80232_80229,Black,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80234_80214,Navy,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80234_80218,Navy,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80234_80220,Navy,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80234_80224,Navy,,,,,,,,,,,,,
product_variation,451,7.36,,,,,,,,,,,,,,,,,,,,,K3023ICC_80234_80226,Navy,,,,,,,,,,,,,
product_variation,451,9.1,,,,,,,,,,,,,,,,,,,,,K3023ICCX_80235_80229,Navy,,,,,,,,,,,,,
product_variation,451,7,,,,,,,,,,,,,,,,,,,,,K3023ICA_80237_80215,Oxford Grey,,,,,,,,,,,,,
product_variation,451,7,,,,,,,,,,,,,,,,,,,,,K3023ICA_80237_80219,Oxford Grey,,,,,,,,,,,,,
product_variation,451,7,,,,,,,,,,,,,,,,,,,,,K3023ICA_80237_80221,Oxford Grey,,,,,,,,,,,,,
product_variation,451,7,,,,,,,,,,,,,,,,,,,,,K3023ICA_80237_80225,Oxford Grey,,,,,,,,,,,,,
product_variation,451,7,,,,,,,,,,,,,,,,,,,,,K3023ICA_80237_80227,Oxford Grey,,,,,,,,,,,,,
product_variation,451,8,,,,,,,,,,,,,,,,,,,,,K3023ICAX_80236_80230,Oxford Grey,,,,,,,,,,,,,
product_variation,451,6.64,,,,,,,,,,,,,,,,,,,,,K3023IC_80238_80216,White,,,,,,,,,,,,,
product_variation,451,6.64,,,,,,,,,,,,,,,,,,,,,K3023IC_80238_80217,White,,,,,,,,,,,,,
product_variation,451,6.64,,,,,,,,,,,,,,,,,,,,,K3023IC_80238_80222,White,,,,,,,,,,,,,
product_variation,451,6.64,,,,,,,,,,,,,,,,,,,,,K3023IC_80238_80223,White,,,,,,,,,,,,,
product_variation,451,6.64,,,,,,,,,,,,,,,,,,,,,K3023IC_80238_80228,White,,,,,,,,,,,,,
product_variation,451,8.1,,,,,,,,,,,,,,,,,,,,,K3023ICX_80239_80231,White,,,,,,,,,,,,,
