type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_variation_option_Size,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29
product,501,15.56,Marine-t-shirt ronde hals Bio dames,"100% katoen. Dit T-shirt werd gemaakt van 100% biologisch gekamd katoen. Rechte snit. Enzymgewassen. Ronde halsopening met 1x1 ribboord. Gebreide strepen. Nektape. Dubbel stiksel aan mouwuiteinden en onderkant. Geen merklabel, voor eenvoudige personalisatie. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=201252&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201252&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201251&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201250&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201245&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=243727&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201243&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201244&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201241&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201248&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=243726&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=243725&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=243724&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=243729&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=243728&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=243730&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=406357&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=406356&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy / White Stripes,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,501,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,White / Navy Stripes,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67832_67826,Navy / White Stripes,,,,,,,XS,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67832_67827,Navy / White Stripes,,,,,,,S,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67832_67828,Navy / White Stripes,,,,,,,M,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67832_67829,Navy / White Stripes,,,,,,,L,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67832_67830,Navy / White Stripes,,,,,,,XL,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67832_67831,Navy / White Stripes,,,,,,,XXL,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67833_67826,White / Navy Stripes,,,,,,,,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67833_67827,White / Navy Stripes,,,,,,,,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67833_67828,White / Navy Stripes,,,,,,,,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67833_67829,White / Navy Stripes,,,,,,,,,,,,,,,,,
product_variation,501,15.56,,,,,,,,,,,,,,,,,,,,,,,,K3034_67833_67830,White / Navy Stripes,,,,,,,,,,,,,,,,,
