type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29,product_media_gallery_image_url_30,product_media_gallery_image_url_31,product_media_gallery_image_url_32,product_media_gallery_image_url_33,product_media_gallery_image_url_34,product_media_gallery_image_url_35,product_media_gallery_image_url_36,product_media_gallery_image_url_37,product_media_gallery_image_url_38,product_media_gallery_image_url_39,product_media_gallery_image_url_40,product_media_gallery_image_url_41,product_media_gallery_image_url_42,product_media_gallery_image_url_43,product_variation_option_Size
product,601,33.24,Damessweater met rits en capuchon in contrasterende kleur,"80% katoen / 20% polyester (Oxford Grey: 76% gekamd katoen / 21% polyester / 3% viscose). Geborsteld fleece aan de binnenkant. Gaatje voor draadje en lusje aan de kraag voor oortjes. Ribboord aan mouwuiteinden en onderkant kledingstuk. Gevoerde capuchon in contrasterende kleur met aanrijgkoordjes. Rits in contrasterende kleur.  Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=377785&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Sweatshirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377785&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377784&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377782&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377788&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377786&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377779&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377780&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377778&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377783&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377781&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377789&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377787&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Color,Black / Fine Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Color,Black / Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Color,Navy / Fine Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Color,Oxford Grey / Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,601,,,,,,,,,,,,,,,,,,,,,,Color,Red / White,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48864_48869,Black / Fine Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48864_48863,Black / Fine Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48864_48865,Black / Fine Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48864_48866,Black / Fine Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48864_48867,Black / Fine Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48864_48868,Black / Fine Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXL
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48870_48869,Black / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48870_48863,Black / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48870_48865,Black / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48870_48866,Black / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48870_48867,Black / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48870_48868,Black / Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48871_48869,Black / Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48871_48863,Black / Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,601,33.24,,,,,,,,,,,,,,,,,,,K467_48871_48865,Black / Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
