type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_variation_option_Size,product_media_gallery_image_url_21,product_media_gallery_image_url_22
product,701,33.34,Ecologische herenbroek van fleece,"85% katoen / 15% polyester. Gemaakt van 85% biologisch katoen en 15% gerecycled polyester post-consumer. Geborsteld fleece 3 draden LSF (Low Shrinkage Fleece) aan de binnenkant. Gekamd katoen. Rechte snit. 2 zijzakken. Elastische tailleband met platte aanrijgkoordjes. Elastisch onderaan de broekspijpen. Geen merklabel, maar enkel een maatlabel voor eenvoudige personalisatie. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=198992&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198992&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198991&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377055&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377054&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377056&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377051&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377050&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377049&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198990&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198989&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198987&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198993&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198988&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377053&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377052&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377058&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377057&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=377059&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Clay,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,
product_option,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68218_68205,Black,,,,,,,S,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68218_68206,Black,,,,,,,M,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68218_68209,Black,,,,,,,L,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68218_68210,Black,,,,,,,XL,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68218_68213,Black,,,,,,,XXL,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025CX_68219_68214,Black,,,,,,,3XL,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025CX_68219_68217,Black,,,,,,,4XL,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_76805_68205,Clay,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_76805_68206,Clay,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_76805_68209,Clay,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_76805_68210,Clay,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_76805_68213,Clay,,,,,,,,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025CX_76804_68214,Clay,,,,,,,,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025CX_76804_68217,Clay,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025A_68221_68204,Grey Heather,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025A_68221_68207,Grey Heather,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025A_68221_68208,Grey Heather,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025A_68221_68211,Grey Heather,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025A_68221_68212,Grey Heather,,,,,,,,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025AX_68220_68215,Grey Heather,,,,,,,,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025AX_68220_68216,Grey Heather,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68222_68205,Navy,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68222_68206,Navy,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68222_68209,Navy,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68222_68210,Navy,,,,,,,,,
product_variation,701,33.34,,,,,,,,,,,,,,,,,,,,,,,,,K7025C_68222_68213,Navy,,,,,,,,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025CX_68223_68214,Navy,,,,,,,,,
product_variation,701,38.44,,,,,,,,,,,,,,,,,,,,,,,,,K7025CX_68223_68217,Navy,,,,,,,,,
