type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_variation_option_Size,product_media_gallery_image_url_7,product_media_gallery_image_url_8
product,901,5.9,"Shoppers met ruimteplooi, verkrijgbaar in verschillende afmetingen","100% katoen. Klassieke shopper met ruimteplooi, verkrijgbaar in verschillende maten van S tot XL.  De hengsels zijn gemaakt van dezelfde stof als de tas zelf. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266674&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266674&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,
product_option,901,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,901,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,901,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,901,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,901,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,901,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_option,901,,,,,,,,,,,Color,Navy Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,901,5.9,,,,,,,,KI0295S_74119_74111,Black,,,,,,,,,,S,,
product_variation,901,7.64,,,,,,,,KI0295M_74122_74114,Black,,,,,,,,,,M,,
product_variation,901,9.1,,,,,,,,KI0295L_74120_74115,Black,,,,,,,,,,L,,
product_variation,901,11.64,,,,,,,,KI0295XL_74121_74118,Black,,,,,,,,,,XL,,
product_variation,901,4.46,,,,,,,,KI0295NS_74126_74112,Natural,,,,,,,,,,,,
product_variation,901,5.44,,,,,,,,KI0295NM_74123_74113,Natural,,,,,,,,,,,,
product_variation,901,6.1,,,,,,,,KI0295NL_74124_74116,Natural,,,,,,,,,,,,
product_variation,901,7.2,,,,,,,,KI0295NXL_74125_74117,Natural,,,,,,,,,,,,
product_variation,901,5.9,,,,,,,,KI0295S_74127_74111,Navy Blue,,,,,,,,,,,,
product_variation,901,7.64,,,,,,,,KI0295M_74130_74114,Navy Blue,,,,,,,,,,,,
product_variation,901,9.1,,,,,,,,KI0295L_74129_74115,Navy Blue,,,,,,,,,,,,
product_variation,901,11.64,,,,,,,,KI0295XL_74128_74118,Navy Blue,,,,,,,,,,,,
product,902,5.9,Extra grote shopper van katoen,"100% katoen. Katoenen shopper, versie extra large. De hengsels zijn gemaakt van hetzelfde materiaal als de tas zelf. 100% personaliseerbaar. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266675&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266675&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331302&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,902,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,902,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,902,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,902,5.9,,,,,,,,KI0292_74102_74100,Black,,,,,,,,,,One Size,,
product_variation,902,4.44,,,,,,,,KI0292N_74103_74101,Natural,,,,,,,,,,,,
product,903,14.36,Shopper van katoen en gevlochten jutedraad,"100% jute / 100% katoen. Shopper met boven- en onderpanelen in gevlochten jute met gebreide look, en een middenpaneel in katoen, voor eenvoudige personalisatie. Binnenzak met ritssluiting voor spulletjes.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263299&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263299&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277818&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277817&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=308613&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331298&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331299&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,903,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,903,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,903,,,,,,,,,,,Color,Cumin Yellow / Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_option,903,,,,,,,,,,,Color,Minorca Navy / Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_option,903,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,903,14.36,,,,,,,,KI0294C_74107_74105,Black,,,,,,,,,,One Size,,
product_variation,903,13,,,,,,,,KI0294_74108_74104,Cumin Yellow / Natural,,,,,,,,,,,,
product_variation,903,13,,,,,,,,KI0294_74109_74104,Minorca Navy / Natural,,,,,,,,,,,,
product_variation,903,11.46,,,,,,,,KI0294N_74110_74106,Natural,,,,,,,,,,,,
product,904,22.1,Shopper van gevlochten jute met gebreide look,"100% jute. Shopper in gevlochten jute met gebreide look. Katoenen hengsels. Ritssluiting aan de bovenkant. Katoenen voering aan de binnenkant. Drukkersrits aan weerszijden van de voering, voor eenvoudige decoratie. Binnenzak met ritssluiting voor spulletjes.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266947&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266947&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266945&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266946&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266944&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=307729&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331295&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,904,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,904,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_option,904,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,904,22.1,,,,,,,,KI0257_74098_74096,Black,,,,,,,,,,One Size,,
product_variation,904,17.14,,,,,,,,KI0257N_74099_74097,Natural,,,,,,,,,,,,
