type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_variation_option_Size,product_media_gallery_image_url_7
product,51,2.96,Snood - Morf® Original,100% polyester / microvezel. Ademende stof. Naadloos voor meer comfort. Multifunctioneel.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219804&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Beechfield,Kledingaccessoires,Sjaal,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219804&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196647&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,51,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Bottle Green,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Classic Red,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Fluorescent Orange,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Fuchsia,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Graphite Grey,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Lime Green,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Purple,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Sapphire Blue,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,
product_option,51,,,,,,,,,,,,Color,Yellow,RADIOBUTTONS,TRUE,,,,,,
product_variation,51,2.96,,,,,,,,,B900_22416_22415,Black,,,,,,,,,One Size,
product_variation,51,2.96,,,,,,,,,B900_70616_22415,Bottle Green,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70617_22415,Bright Royal,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70618_22415,Burgundy,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70619_22415,Classic Red,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70620_22415,Fluorescent Orange,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70621_22415,Fluorescent Yellow,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70622_22415,French Navy,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70623_22415,Fuchsia,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70624_22415,Graphite Grey,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70625_22415,Lime Green,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_22417_22415,Orange,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70626_22415,Purple,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70627_22415,Sapphire Blue,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70628_22415,White,,,,,,,,,,
product_variation,51,2.96,,,,,,,,,B900_70629_22415,Yellow,,,,,,,,,,
product,52,8.16,Turnrugzak met koordje,Polyester 300D. Afneembaar etiket. Waterdichte stof. Geheime zak. Dikke aanrijgkoordjes.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196633&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196633&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196632&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196634&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,
product_option,52,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,Bottle Green,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,Classic Red,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,Lime Green,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,Sapphire Blue,RADIOBUTTONS,TRUE,,,,,,
product_option,52,,,,,,,,,,,,Color,White / Black,RADIOBUTTONS,TRUE,,,,,,
product_variation,52,8.16,,,,,,,,,BG110_78617_70637,Black,,,,,,,,,One Size,
product_variation,52,8.16,,,,,,,,,BG110_70639_70637,Bottle Green,,,,,,,,,,
product_variation,52,8.16,,,,,,,,,BG110_70640_70637,Bright Royal,,,,,,,,,,
product_variation,52,8.16,,,,,,,,,BG110_70641_70637,Classic Red,,,,,,,,,,
product_variation,52,8.16,,,,,,,,,BG110_70642_70637,French Navy,,,,,,,,,,
product_variation,52,8.16,,,,,,,,,BG110_70643_70637,Light Grey,,,,,,,,,,
product_variation,52,8.16,,,,,,,,,BG110_70644_70637,Lime Green,,,,,,,,,,
product_variation,52,8.16,,,,,,,,,BG110_70645_70637,Sapphire Blue,,,,,,,,,,
