type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6
product,951,23.1,Gerecycleerde toilettas met dubbel vak,100% polyester. Toilettas van 50% gerecycleerd polyester. Dubbel compartiment met ritssluitingen.  De klep met dubbele gesp biedt een mooie personalisatieruimte. 2 hengsels waarmee hij verticaal kan worden opgehangen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266346&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266346&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,951,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,951,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_variation,951,23.1,,,,,,,,KI0370_74153_74152,Black,One Size,,,,,,,,,
product,952,13.04,"Groot, gerecycleerd heuptasje met zijtasjes",100% polyester. Groot heuptasje van 50% gerecycleerd polyester. Hoofdvak met ritssluiting. Voorvak met ritssluiting voor eenvoudige personalisatie. Zijtasje met ritssluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263342&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263342&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263340&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,952,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,952,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,952,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_variation,952,13.04,,,,,,,,KI0371_74155_74154,Black,One Size,,,,,,,,,
product_variation,952,13.04,,,,,,,,KI0371_74156_74154,Navy,,,,,,,,,,
product,953,20.66,Gerecycleerde koeltas met zak op de voorkant,100% polyester. Koeltas in 50% gerecycleerd polyester. 100% personaliseerbare zak aan de voorkant. Ritssluitingen met een lint waarop 'cooler bag' staat.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266345&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266345&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,953,,,,,,,,,,,,Color,Tuscany Orange,RADIOBUTTONS,TRUE,,,,,
product_option,953,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,953,,,,,,,,,,,,Color,Whale Blue,RADIOBUTTONS,TRUE,,,,,
product_variation,953,20.66,,,,,,,,KI0372_74158_74157,Tuscany Orange,One Size,,,,,,,,,
product_variation,953,20.66,,,,,,,,KI0372_74159_74157,Whale Blue,,,,,,,,,,
product,954,36.44,Gerecycleerde koelrugzak met zak op de voorkant,100% polyester. Isotherme rugzak in 50% gerecycleerd polyester. Opent bovenaan aan drie kanten. 100% personaliseerbare zak aan de voorkant. Ritssluitingen met een lint waarop 'cooler bag' staat.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266344&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266344&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,954,,,,,,,,,,,,Color,Dark Cool Grey,RADIOBUTTONS,TRUE,,,,,
product_option,954,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,954,,,,,,,,,,,,Color,Whale Blue,RADIOBUTTONS,TRUE,,,,,
product_variation,954,36.44,,,,,,,,KI0373_77117_77116,Dark Cool Grey,One Size,,,,,,,,,
product_variation,954,36.44,,,,,,,,KI0373_77118_77116,Whale Blue,,,,,,,,,,
product,955,9.54,Gerecycleerd klassiek heuptasje,"100% polyester. Klassiek heuptasje in 50% gerecycleerd polyester. Eén vak aan de voorkant, 100% personaliseerbaar.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277821&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277821&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277820&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266343&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,955,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Cypress Green,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Dazzling Blue / White,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Flamingo Pink,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Green Clay,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Insignia Blue,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Light Camel,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Orange Zest / Plum Purple,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Red Safran,RADIOBUTTONS,TRUE,,,,,
product_option,955,,,,,,,,,,,,Color,Soil Grey,RADIOBUTTONS,TRUE,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74161_74160,Black,One Size,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74162_74160,Cypress Green,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74163_74160,Dazzling Blue / White,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74164_74160,Flamingo Pink,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74165_74160,Green Clay,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74166_74160,Insignia Blue,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74167_74160,Light Camel,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74168_74160,Orange Zest / Plum Purple,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74169_74160,Red Safran,,,,,,,,,,
product_variation,955,9.54,,,,,,,,KI0374_74170_74160,Soil Grey,,,,,,,,,,
product,956,30.1,Gerecycleerde laptoptas,"100% polyester.  Werktas in 60% gerecycleerd polyester. Dubbele zak met ritssluiting vooraan, voor eenvoudige personalisatie. Gewatteerd hoofdvak voor laptop tot 15 inch. Achterlipje om de tas in de handgreep van de rolkoffer te steken.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263337&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263337&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263339&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263338&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,956,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,956,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,956,,,,,,,,,,,,Color,Light Titanium,RADIOBUTTONS,TRUE,,,,,
product_variation,956,30.1,,,,,,,,KI0433_74187_74186,Black,One Size,,,,,,,,,
product_variation,956,30.1,,,,,,,,KI0433_74188_74186,Light Titanium,,,,,,,,,,
product,957,4.76,Koeltas met rolsluiting,100% katoen. Katoenen tas met oprolsluiting die hem een rechte en eenvoudig personaliseerbare vorm geeft. Verschillende afmetingen om in alle noden te voorzien.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266670&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266670&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448326&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448325&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448324&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448328&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=448327&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo
product_option,957,,,,,,,,,,,,Color,Natural / White,RADIOBUTTONS,TRUE,,,,,
