type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10
product,1001,14.36,Organizer-tablet voor kabels en accessoires,"100% polyester. Tablet in polyester om kabels te vervoeren. Dankzij een systeem van gekruiste elastieken van verschillende lengtes kunnen alle kabels en accessoires van uw laptops, tablets, smartphones en elk ander elektronisch apparaat hierin worden opgeborgen. Gemakkelijk mee te nemen dankzij het A4-formaat. Past in de meeste rugzakken en werktassen. Achterzak met ritssluiting die gemakkelijk kan worden gepersonaliseerd, om kleine pasjes in te steken.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331308&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1001,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1001,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1001,14.36,,,,,,,,,KI0517_74200_74199,Black,One Size,,,,,,,,,,,,
product,1002,61.04,Reisrugzak met gewatteerde achterkant voor laptop,"100% polyester. Reistas met grote inhoud in polyester. Waterdichte rits, opening met rits met dubbele schuiver bovenaan en handgrepen om hem te vervoeren als duffeltas. Verticale opening met compressieband die kan worden gebruikt als verticale handgreep. Platte bodemopening met binnenzak voor schoenen of vuile kleding. Ventilatiekleppen onderaan. Grote, 100% personaliseerbare tweelingzakken opzij. Gewatteerde achterzijde voor laptop tot 18 inch. Gewatteerde schouderriemen om de tas als rugzak te dragen. De schouderriemen verdwijnen in de daarvoor bestemde zak wanneer ze niet worden gebruikt.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277806&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277806&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277804&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277805&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277808&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263336&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263374&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263335&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263103&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331306&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277807&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo
product_option,1002,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1002,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1002,61.04,,,,,,,,,KI0648_74204_74203,Black,One Size,,,,,,,,,,,,
product,1003,30.24,Grote sporttas met zijvak,"100% polyester. Polyvalente sporttas. Een grote bovenopening en een zijzak met een mooie personalisatieruimte. Groot, apart vak voor schoenen. Verstelbare schouderriem.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263373&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263373&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263371&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263372&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331311&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,1003,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
