type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15
product,1051,3.6,"Dubbel compartiment zakje, waarvan één  waterdicht","100% polyester. Zakje met dubbel vak in gerecycled 210D polyester. Ideaal voor het opbergen van uw mondkapjes, nieuw of gebruikt. Contrasterende ritsen om het compartiment te onderscheiden waar de voering is gemaakt van Polyethyleen Vinyl Acetaat, waterdicht materiaal, waar gebruikte mondkapjes goed geïsoleerd zijn. Het andere compartiment voor nieuwe mondkappen is gemaakt van gerecycled polyester. Voor de kleur Black: Gebruikkte mondkap in het vakje met de rode rits, nieuwe mondkap in het vakje met de cool grijze rits; Voor de kleur White: gebruikte mondkap in het vakje met de gele rits, nieuwe mondkap in het vakje met de donkergrijze rits. Zakje wasbaar op 40°.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197803&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197803&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197808&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199177&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207645&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202979&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1051,,,,,,,,,,,,,,,Color,Black / Red / Cool Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1051,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1051,,,,,,,,,,,,,,,Color,White / Dark Grey / Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,1051,3.6,,,,,,,,,,,,KI0749_67575_67574,Black / Red / Cool Grey,,,,,One Size,,,,,,,,,,
product_variation,1051,3.6,,,,,,,,,,,,KI0749_67576_67574,White / Dark Grey / Yellow,,,,,,,,,,,,,,,
product,1052,38.86,Gerecycleerde en gewatteerde rugzak voor het werk,"100% polyester. Gewatteerde werktas in 50% gerecycleerd polyester. In het hoofdvak zit een vak voor een laptop tot 15 inch. Op de voorkant zit een zak met een grote ritssluiting, voor eenvoudige personalisatie.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=263365&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263365&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263364&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263366&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263099&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,1052,,,,,,,,,,,,,,,Color,Graphite Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1052,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,1052,38.86,,,,,,,,,,,,KI0891_74261_74260,Graphite Grey Heather,,,,,One Size,,,,,,,,,,
product,1053,1.14,Tas met tunnelkoord,100% katoen. Katoenen tas met koordsluiting. Verkrijgbaar in verschillende maten. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266680&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266680&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,
product_option,1053,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1053,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1053,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1053,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1053,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1053,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,1053,1.14,,,,,,,,,,,,KI0750XS_74237_74232,Natural,,,,,XS,,,,,,,,,,
product_variation,1053,1.34,,,,,,,,,,,,KI0750S_74238_74233,Natural,,,,,S,,,,,,,,,,
product_variation,1053,1.64,,,,,,,,,,,,KI0750M_74239_74234,Natural,,,,,M,,,,,,,,,,
product_variation,1053,1.76,,,,,,,,,,,,KI0750L_74240_74235,Natural,,,,,L,,,,,,,,,,
product_variation,1053,2.34,,,,,,,,,,,,KI0750XL_74241_74236,Natural,,,,,XL,,,,,,,,,,
product,1054,2.1,Tas van biologisch katoen,100% katoen. Veelzijdige tas met koordsluiting in 100% biologisch katoen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266679&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266679&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,
product_option,1054,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1054,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1054,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1054,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1054,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1054,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,1054,2.1,,,,,,,,,,,,KI0751S_74253_74243,Black,,,,,S,,,,,,,,,,
product_variation,1054,2.8,,,,,,,,,,,,KI0751M_74252_74244,Black,,,,,M,,,,,,,,,,
product_variation,1054,4.14,,,,,,,,,,,,KI0751L_74250_74247,Black,,,,,L,,,,,,,,,,
product_variation,1054,5.66,,,,,,,,,,,,KI0751XL_74251_74248,Black,,,,,XL,,,,,,,,,,
product_variation,1054,1.76,,,,,,,,,,,,KI0751NS_74254_74242,Natural,,,,,,,,,,,,,,,
product_variation,1054,2.2,,,,,,,,,,,,KI0751NM_74256_74245,Natural,,,,,,,,,,,,,,,
product_variation,1054,3.1,,,,,,,,,,,,KI0751NL_74255_74246,Natural,,,,,,,,,,,,,,,
product_variation,1054,4.1,,,,,,,,,,,,KI0751NXL_74257_74249,Natural,,,,,,,,,,,,,,,
product,1055,7.36,Tas voor yogamatje,100% katoen. Katoenen tas voor uw yoga- of pilatesmatje. Koordsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263295&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263295&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277858&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277857&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,1055,,,,,,,,,,,,,,,Color,Hemp / Natural,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1055,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,1055,7.36,,,,,,,,,,,,KI0753_74259_74258,Hemp / Natural,,,,,One Size,,,,,,,,,,
product,1056,6.04,Tas met koord en kerstmotieven,100 % katoen. <br/>Sluit met een koordje.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367745&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367745&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367746&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383661&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,1056,,,,,,,,,,,,,,,Color,Cherry Red,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1056,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1056,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,1056,,,,,,,,,,,,,,,Color,Night Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,1056,6.04,,,,,,,,,,,,KI0735_80437_80435,Cherry Red,,,,,One Size,,,,,,,,,,
