type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size
product,1101,19.34,Shopper in drie kleuren-Origine France Garantie,"100% katoen. Deze tas werd gemaakt van katoencanvas. Dit in Bretagne in Frankrijk gemaakte product kreeg het label 'Origine France Garantie'. <br/>Op de zijkant van de tas werd een geweven etiket van de Franse vlag genaaid.  Geweven hengsels van 2,5 cm breed en 50 cm lang in contrasterende kleuren.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=199979&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199979&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199981&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199978&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199980&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199975&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199976&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199977&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=208539&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=208538&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=208537&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=208536&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,1101,,,,,,,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,
product_option,1101,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,1101,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,
product_option,1101,,,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,
product_variation,1101,19.34,,,,,,,,,,,,,,,,,,KI3205_68291_68290,Natural,,,,,One Size
product_variation,1101,19.34,,,,,,,,,,,,,,,,,,KI3205_68292_68290,Navy,,,,,
product_variation,1101,19.34,,,,,,,,,,,,,,,,,,KI3205_68293_68290,Red,,,,,
product,1102,19.76,Gerecyclede rugzak - Gestreept,"78% katoen / 20% polyester / 2% andere vezels . Rugzak met koordje, bestaande uit 78% gerecycled katoen en 20% gerecycled polyester. De binnenkant van de tas werd gevoerd met een stof in een contrasterende kleur. Op de voorkant van de tas zitten een grote zak en een zak met een ritssluiting. De schouderbanden zijn regelbaar. Het gestreepte twillweefsel geeft ieder stuk een unieke look.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=207996&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207996&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1102,,,,,,,,,,,,,,,,,,,,,Color,Striped Marine,RADIOBUTTONS,TRUE,
product_option,1102,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,1102,19.76,,,,,,,,,,,,,,,,,,KI5108_70679_70678,Striped Marine,,,,,One Size
product,1103,10.9,Gerecyclede shopper - Gestreept,78% katoen / 20% polyester / 2% andere vezels. Shopper van 78% gerecycled katoen en 20% gerecycled polyester. De binnenkant van de tas werd gevoerd met een stof in een contrasterende kleur. Het hoofdvak kreeg een ritssluiting. De tas kreeg een binnenzak met ritssluiting en hengels van 4 cm breed voor meer comfort. De gestreepte twillstof geeft ieder stuk een unieke look.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=208024&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=208024&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=208023&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1103,,,,,,,,,,,,,,,,,,,,,Color,Striped Marine,RADIOBUTTONS,TRUE,
product_option,1103,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,1103,10.9,,,,,,,,,,,,,,,,,,KI5210_70681_70680,Striped Marine,,,,,One Size
product,1104,13.06,Gerecyclede schoudertas - Gestreept,78% katoen / 20% polyester / 2% andere vezels. Schoudertas van 78% gerecycled katoen en 20% gerecycled polyester. De binnenkant van de tas werd gevoerd met een stof in een contrasterende kleur en kreeg een ritssluiting. De tas kreeg een binnenzakje met een rits. Het hengsel van 4 cm breed biedt meer comfort. De gestreepte twillstof geeft ieder stuk een unieke look.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207995&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207995&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1104,,,,,,,,,,,,,,,,,,,,,Color,Striped Marine,RADIOBUTTONS,TRUE,
product_option,1104,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,1104,13.06,,,,,,,,,,,,,,,,,,KI5211_70683_70682,Striped Marine,,,,,One Size
product,1105,11.16,Gerecyclede shopper - Golfmotief,67% katoen / 30% polyester / 3% andere vezels. Deze shopper bestaat uit 67% gerecycled katoen en 30% gerecycled polyester. De binnenkant van de tas werd gevoerd met een stof in een contrasterende kleur en kreeg een ritssluiting. De hengsels van 4 cm breed bieden meer comfort. Het jacquardweefsel geeft ieder stuk een unieke look.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383615&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383615&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383618&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383616&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207994&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383617&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,
product_option,1105,,,,,,,,,,,,,,,,,,,,,Color,Waved Black  / Black,RADIOBUTTONS,TRUE,
product_option,1105,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,1105,11.16,,,,,,,,,,,,,,,,,,KI5212_70685_70684,Waved Black  / Black,,,,,One Size
product,1106,11,Gerecyclede shopper - Gestreept,67% katoen / 30% polyester / 3% andere vezels. Deze shopper bestaat uit 67% gerecycled katoen en 30% gerecycled polyester. De binnenkant van de tas is gevoerd met een contrasterende stof en heeft een ritssluiting. De hengsels van 4 cm breed bieden meer comfort. Het gestreepte motief liet zich inspireren door de skyline van grote steden en geeft ieder stuk een unieke look. Past perfect bij reistas KI5214 en tasje KI5705.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383613&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383613&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383610&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383611&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207993&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207992&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383614&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383612&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,1106,,,,,,,,,,,,,,,,,,,,,Color,Striped Ecume,RADIOBUTTONS,TRUE,
product_option,1106,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,1106,11,,,,,,,,,,,,,,,,,,KI5213_70687_70686,Striped Ecume,,,,,One Size
product,1107,17.66,Gerecyclede reistas - Gestreept,"67% katoen / 30% polyester / 3% andere vezels. Deze reistas bestaat uit 67% gerecycled katoen en 30% gerecycled polyester. De binnenkant van de tas is gevoerd met een contrasterende stof en heeft een ritssluiting. <br/>De tas heeft een binnenvak met een ritssluiting,<br/>twee asymmetrische voorzakken en twee gewoven hengsels in hetzelfde materiaal als de tas. Kan worden gedragen als een<br/>handtas of schoudertas. Om te dragen als hand- of schoudertas. Het gestreepte motief liet zich inspireren door de skyline van grote steden en geeft ieder stuk een unieke look. Past perfect bij shopper KI5213 en tasje KI5705.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383609&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383609&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383607&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207991&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207990&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383605&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383606&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383608&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,1107,,,,,,,,,,,,,,,,,,,,,Color,Striped Ecume,RADIOBUTTONS,TRUE,
product_option,1107,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,1107,17.66,,,,,,,,,,,,,,,,,,KI5214_70689_70688,Striped Ecume,,,,,One Size
product,1108,11.8,Grote ‘K-loop’-shopper,"Gerecycled katoen/gerecycled polyester. <br/>Grote shopper met platte bodem en handgrepen in dezelfde stof als de tas. <br/>Deze tas is onderdeel van het ‘K-loop’-project. <br/>Met dit project sluit Kimood de kring van de circulaire economie in de strikte zin van het woord. <br/>Het gebruikte katoen is immers afkomstig van het productieafval van de katoenproducten van het merk Kariban uit het KARIBAN BRANDS-assortiment. <br/>Het toegevoegde polyester is afkomstig van de recycling van PET-plastic flessen. <br/>Tijdens het recyclingproces worden aan het garen tracers toegevoegd, namelijk viscose- en keramische filamenten die als een unieke digitale afdruk fungeren. <br/>De tracers weerkaatsen het licht op een unieke manier en dragen daardoor een unieke en onbreekbare code. Hierdoor kunnen we dus in een blockchain alle informatie opslaan over de processen waaraan het garen op unieke wijze werd onderworpen. Dankzij de Aware™-tracertechnologie en het bijbehorende blockchainplatform kan de eindconsument bij Kimood het hele productieproces volgen. <br/>Dit garandeert dat het product werd gerecycled met zijn eigen afval, zonder mogelijke aanpassingen aan het proces. <br/>Een speciaal label met een QR-code biedt toegang tot het Aware™-platform. Zo kunnen de certificeringen makkelijk worden geraadpleegd met een smartphone.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383603&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383603&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1108,,,,,,,,,,,,,,,,,,,,,Color,Black Jhoot,RADIOBUTTONS,TRUE,
product_option,1108,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,1108,,,,,,,,,,,,,,,,,,,,,Color,Hibiscus Red Jhoot,RADIOBUTTONS,TRUE,
product_option,1108,,,,,,,,,,,,,,,,,,,,,Color,Iron Grey Jhoot,RADIOBUTTONS,TRUE,
product_option,1108,,,,,,,,,,,,,,,,,,,,,Color,Mineral Grey Jhoot,RADIOBUTTONS,TRUE,
product_option,1108,,,,,,,,,,,,,,,,,,,,,Color,Navy Blue Jhoot,RADIOBUTTONS,TRUE,
product_option,1108,,,,,,,,,,,,,,,,,,,,,Color,Wet Sand Jhoot,RADIOBUTTONS,TRUE,
product_variation,1108,11.8,,,,,,,,,,,,,,,,,,KI5221_80499_80498,Black Jhoot,,,,,One Size
product_variation,1108,11.8,,,,,,,,,,,,,,,,,,KI5221_80500_80498,Hibiscus Red Jhoot,,,,,
product_variation,1108,11.8,,,,,,,,,,,,,,,,,,KI5221_80501_80498,Iron Grey Jhoot,,,,,
product_variation,1108,11.8,,,,,,,,,,,,,,,,,,KI5221_80502_80498,Mineral Grey Jhoot,,,,,
product_variation,1108,11.8,,,,,,,,,,,,,,,,,,KI5221_80503_80498,Navy Blue Jhoot,,,,,
product_variation,1108,11.8,,,,,,,,,,,,,,,,,,KI5221_80504_80498,Wet Sand Jhoot,,,,,
product,1109,12.9,‘K-loop’-shopper van XL-formaat,"Gerecycled katoen/gerecycled polyester. <br/>Zeer grote shopper met handgrepen in dezelfde stof als de tas. Deze tas is onderdeel van het ‘K-loop’-project. <br/>Met dit project sluit Kimood de kring van de circulaire economie in de strikte zin van het woord. Het gebruikte katoen is immers afkomstig van het productieafval van de katoenproducten van het merk Kariban en uit het KARIBAN BRANDS-assortiment. <br/>Het toegevoegde polyester is afkomstig van de recycling van PET-plastic flessen. <br/>Tijdens het recyclingproces worden aan het garen tracers toegevoegd, namelijk viscose- en keramische filamenten die als een unieke digitale afdruk fungeren. <br/>De tracers weerkaatsen het licht op een unieke manier en dragen daardoor een unieke en onbreekbare code. <br/>Hierdoor kunnen we dus in een blockchain alle informatie opslaan over de processen waaraan het garen op unieke wijze werd onderworpen. Dankzij de Aware™-tracertechnologie en het bijbehorende blockchainplatform kan de eindconsument bij Kimood het hele productieproces volgen. <br/>Dit garandeert dat het product werd gerecycled met zijn eigen afval, zonder mogelijke aanpassingen aan het proces. Een speciaal label met een QR-code biedt toegang tot het Aware™-platform. Zo kunnen de certificeringen makkelijk worden geraadpleegd met een smartphone.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383601&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383601&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383602&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1109,,,,,,,,,,,,,,,,,,,,,Color,Black Jhoot,RADIOBUTTONS,TRUE,
product_option,1109,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,1109,,,,,,,,,,,,,,,,,,,,,Color,Mineral Grey Jhoot,RADIOBUTTONS,TRUE,
product_option,1109,,,,,,,,,,,,,,,,,,,,,Color,Navy Blue Jhoot,RADIOBUTTONS,TRUE,
product_variation,1109,12.9,,,,,,,,,,,,,,,,,,KI5222_80506_80505,Black Jhoot,,,,,One Size
product_variation,1109,12.9,,,,,,,,,,,,,,,,,,KI5222_80507_80505,Mineral Grey Jhoot,,,,,
product_variation,1109,12.9,,,,,,,,,,,,,,,,,,KI5222_80508_80505,Navy Blue Jhoot,,,,,
product,1110,10.14,Rechthoekige ‘K-loop’-shopper,"Gerecycled katoen/gerecycled polyester. <br/>Rechthoekige shopper met plooi en handgrepen in dezelfde stof als de tas. Deze tas is onderdeel van het ‘K-loop’-project. <br/>Met dit project sluit Kimood de kring van de circulaire economie in de strikte zin van het woord. Het gebruikte katoen is immers afkomstig van het productieafval van de katoenproducten van het merk Kariban en uit het KARIBAN BRANDS-assortiment. <br/>Het toegevoegde polyester is afkomstig van de recycling van PET-plastic flessen. <br/>Tijdens het recyclingproces worden aan het garen tracers toegevoegd, namelijk viscose- en keramische filamenten die als een unieke digitale afdruk fungeren. <br/>De tracers weerkaatsen het licht op een unieke manier en dragen daardoor een unieke en onbreekbare code.<br/>Hierdoor kunnen we dus in een blockchain alle informatie opslaan over de processen waaraan het garen op unieke wijze werd onderworpen. <br/>Dankzij de Aware™-tracertechnologie en het bijbehorende blockchainplatform kan de eindconsument bij Kimood het hele productieproces volgen. <br/>Dit garandeert dat het product werd gerecycled met zijn eigen afval, zonder mogelijke aanpassingen aan het proces. <br/>Een speciaal label met een QR-code biedt toegang tot het Aware™-platform. Zo kunnen de certificeringen makkelijk worden geraadpleegd met een smartphone.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383600&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383600&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,1110,,,,,,,,,,,,,,,,,,,,,Color,Black Jhoot,RADIOBUTTONS,TRUE,
product_option,1110,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,1110,,,,,,,,,,,,,,,,,,,,,Color,Iron Grey Jhoot,RADIOBUTTONS,TRUE,
product_option,1110,,,,,,,,,,,,,,,,,,,,,Color,Navy Blue Jhoot,RADIOBUTTONS,TRUE,
product_variation,1110,10.14,,,,,,,,,,,,,,,,,,KI5223_80510_80509,Black Jhoot,,,,,One Size
