type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15
product,1151,3.66,Shopper met motief,"100% katoen. Shopper van 60% gerecycled katoen en 40% zuiver katoen. De tekening toont een herinterpretatie van de Möbiusband, maar met vissen in plaats van pijlen. Een eerbetoon aan water als belangrijkste levensgoed, symbool van vrouwelijkheid, positiviteit en aanpassings- en evolutievermogen.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=206719&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206719&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207309&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207310&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207312&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207308&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207311&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1151,,,,,,,,,,,,,,,,Color,Natural / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1151,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1151,,,,,,,,,,,,,,,,Color,Natural / Green Field,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1151,,,,,,,,,,,,,,,,Color,Natural / Red,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1151,,,,,,,,,,,,,,,,Color,Natural / Sea Blue,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1151,3.66,,,,,,,,,,,,,KI7202_68349_68348,Natural / Black,,,,,One Size,,,,,,,,,
product_variation,1151,3.66,,,,,,,,,,,,,KI7202_68350_68348,Natural / Green Field,,,,,,,,,,,,,,
product_variation,1151,3.66,,,,,,,,,,,,,KI7202_68351_68348,Natural / Red,,,,,,,,,,,,,,
product_variation,1151,3.66,,,,,,,,,,,,,KI7202_68352_68348,Natural / Sea Blue,,,,,,,,,,,,,,
product,1152,3.46,Opvouwbare shopper,100% katoen. Opvouwbare shopper van 100% biologisch katoen. De tas wordt opgevouwen in haar eigen tasje en gesloten met een koordje. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207305&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207305&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207307&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207306&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Color,Natural / Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Color,Natural / Curcuma,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Color,Natural / Hibiscus Red,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Color,Natural / Ice Mint,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Color,Natural / Navy Blue,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1152,,,,,,,,,,,,,,,,Color,Natural / Turquoise,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1152,3.46,,,,,,,,,,,,,KI7207_68360_68353,Natural,,,,,One Size,,,,,,,,,
product_variation,1152,3.46,,,,,,,,,,,,,KI7207_68355_68353,Natural / Black,,,,,,,,,,,,,,
product_variation,1152,3.46,,,,,,,,,,,,,KI7207_68357_68353,Natural / Curcuma,,,,,,,,,,,,,,
product_variation,1152,3.46,,,,,,,,,,,,,KI7207_68358_68353,Natural / Hibiscus Red,,,,,,,,,,,,,,
product_variation,1152,3.46,,,,,,,,,,,,,KI7207_68359_68353,Natural / Ice Mint,,,,,,,,,,,,,,
product_variation,1152,3.46,,,,,,,,,,,,,KI7207_68361_68353,Natural / Navy Blue,,,,,,,,,,,,,,
product_variation,1152,3.46,,,,,,,,,,,,,KI7207_68363_68353,Natural / Turquoise,,,,,,,,,,,,,,
product,1153,18.2,Koeltas,"100% katoen. Koeltas van 60% gerecycled katoen en 40% zuiver katoen. Oprolsluiting om de kou in de tas beter vast te houden en het vullen te vergemakkelijken.<br/>Binnenin zit een half harde fleshouder van schuim bekleed met katoen, om de fles recht en koel te houden.<br/>Deze tas kan ook worden gebruikt voor de levering van bereide maaltijden, want er past een meeneemgerecht en een drankje in. <br/>Aan de buitenkant ook voorzien van een doorschijnend zakje om de kassabon in te steken. Verkrijgbaar in 2 maten (M en L) om individuele gerechten of gerechten voor het hele gezin in te vervoeren, of om verse boodschappen in te doen.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=207296&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207296&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207297&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206718&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207295&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,1153,,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1153,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1153,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1153,18.2,,,,,,,,,,,,,KI7208_68366_68364,Natural,,,,,M,,,,,,,,,
product_variation,1153,19.3,,,,,,,,,,,,,KI7208X_69996_69997,Natural,,,,,L,,,,,,,,,
product,1154,3.94,Gerecycled ritstasje - Golfmotief,"67% gerecycleerd katoen, 30% gerecycleerd polyester, 3% andere vezels. De binnenkant van het tasje is gevoerd met een stof in een contrasterende kleur. Met polsriem van katoenkoord. Het jacquard weefsel geeft ieder stuk een unieke look.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=207333&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207333&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207334&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,
product_option,1154,,,,,,,,,,,,,,,,Color,Waved Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1154,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1154,3.94,,,,,,,,,,,,,KI5704_70691_70690,Waved Black,,,,,One Size,,,,,,,,,
product,1155,3.9,Gerecycled tasje - Gestreept,67% katoen / 30% polyester / 3% andere vezels. Tasje van 67% gerecycled katoen en 30% gerecycled polyester. De tasje werd gevoerd met een contrasterende stof en kreeg een ritssluiting. Het tasje heeft een katoenen. Het gestreepte motief liet zich inspireren door de skyline van grote steden. Het jacquardweefsel geeft ieder stuk een unieke look.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207327&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207327&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207329&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207328&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,1155,,,,,,,,,,,,,,,,Color,Striped Ecume,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1155,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1155,3.9,,,,,,,,,,,,,KI5705_70693_70692,Striped Ecume,,,,,One Size,,,,,,,,,
product,1156,5.46,Gerecycleerde katoenen shopper 'K-loop project',"73% katoen/25% polyester/2% andere vezels. Shopper in gerecycleerd 25% polyester en 73% katoen. Deze tas is onderdeel van het 'K-loop' project. Met dit project sluit Kimood de kringloop van de circulaire economie, in de strikte zin van het woord. Het gebruikte katoen is afkomstig van het productieafval van de katoenen T-shirts van het merk Kariban, uit de familie KARIBAN BRANDS. Het toegevoegde polyester is afkomstig van gerecycleerde plastic flessen. Tijdens het recyclageproces worden aan het garen 'tracers' toegevoegd. Dit zijn elektronische chips die een blockchain bevatten (technologie voor informatieopslag- en -overdracht), met daarin alle stappen die het garen doorliep. Dankzij de Aware™-traceertechnologie maakt Kimood het voor de eindgebruiker mogelijk om het hele productieproces te volgen, met de garantie op een product dat werd gerecycleerd zoals het hoort, zonder veranderingen tijdens het proces. Kimood sluit de cirkel van de circulaire economie met 'K-loop'.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266682&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266682&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331315&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,
product_option,1156,,,,,,,,,,,,,,,,Color,Black Jhoot,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1156,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1156,,,,,,,,,,,,,,,,Color,Melange Jhoot,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1156,,,,,,,,,,,,,,,,Color,Navy Blue Jhoot,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1156,,,,,,,,,,,,,,,,Color,White Jhoot,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1156,5.46,,,,,,,,,,,,,KI5808_80549_74262,Black Jhoot,,,,,One Size,,,,,,,,,
product_variation,1156,5.46,,,,,,,,,,,,,KI5808_74263_74262,Melange Jhoot,,,,,,,,,,,,,,
product_variation,1156,5.46,,,,,,,,,,,,,KI5808_80550_74262,Navy Blue Jhoot,,,,,,,,,,,,,,
product_variation,1156,5.46,,,,,,,,,,,,,KI5808_80551_74262,White Jhoot,,,,,,,,,,,,,,
product,1157,48.86,Handgevlochten rotanmand,"Handgevlochten rotanmand, verkrijgbaar in verschillende maten. <br/>De handgrepen met licht ovale vorm zijn in de mand verwerkt.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=386308&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Winkelwagen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=386308&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,
product_option,1157,,,,,,,,,,,,,,,,Color,Rattan,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1157,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1157,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1157,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1157,48.86,,,,,,,,,,,,,KI5902S_80567_80564,Rattan,,,,,S,,,,,,,,,
product_variation,1157,76.76,,,,,,,,,,,,,KI5902M_80568_80565,Rattan,,,,,M,,,,,,,,,
product_variation,1157,91.7,,,,,,,,,,,,,KI5902L_80569_80566,Rattan,,,,,L,,,,,,,,,
product,1158,46.24,Handgevlochten rotanmand,"Handgevlochten rotanmand, verkrijgbaar in verschillende maten. <br/>Handgrepen verwerkt in de rand.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=386307&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Winkelwagen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=386307&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,
product_option,1158,,,,,,,,,,,,,,,,Color,Rattan,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1158,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1158,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1158,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1158,46.24,,,,,,,,,,,,,KI5903S_80573_80570,Rattan,,,,,S,,,,,,,,,
