type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14
product,1201,3.5,Pet met contrastbies - 6 panelen,100% katoen.  Pet met 6 panelen en contrasterende bies. Verstelbare sluiting met metalen gesp en zelfblokkerende lus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383851&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383851&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390760&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383852&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390762&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390764&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214334&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214333&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214332&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390761&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390763&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Black / Orange,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Black / White,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Dark Grey / Light Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Forest Green / Beige,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Light Grey / Dark Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Navy / White,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Red / White,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,Royal Blue / White,RADIOBUTTONS,TRUE,,,,,
product_option,1201,,,,,,,,,,,,,,,,,,,,Color,White / Navy,RADIOBUTTONS,TRUE,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68375_68374,Black,,,,,One Size,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68376_68374,Black / Orange,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68377_68374,Black / Red,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68378_68374,Black / White,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68379_68374,Dark Grey / Light Grey,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68380_68374,Forest Green / Beige,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68381_68374,Light Grey / Dark Grey,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68382_68374,Navy,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68383_68374,Navy / White,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68384_68374,Red / White,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68385_68374,Royal Blue / White,,,,,,,,,
product_variation,1201,3.5,,,,,,,,,,,,,,,,,KP185_68386_68374,White / Navy,,,,,,,,,
