type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_option_Size
product,1251,3.36,Pet - 6 panelen,100% katoen. Pet 6 panelen. Verstelbare sluiting met metalen gesp en zelfblokkerende lus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390752&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390752&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390751&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390753&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214325&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214324&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214323&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383848&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,1251,,,,,,,,,,,,,,,,,Color,Beige,RADIOBUTTONS,TRUE,,,,,
product_option,1251,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1251,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,1251,,,,,,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,
product_option,1251,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,1251,,,,,,,,,,,,,,,,,Color,Slate Grey,RADIOBUTTONS,TRUE,,,,,
product_variation,1251,3.36,,,,,,,,,,,,,,KP190_68408_68407,Beige,,,,,,,,,One Size
product_variation,1251,3.36,,,,,,,,,,,,,,KP190_68409_68407,Black,,,,,,,,,
product_variation,1251,3.36,,,,,,,,,,,,,,KP190_68410_68407,Forest Green,,,,,,,,,
product_variation,1251,3.36,,,,,,,,,,,,,,KP190_68411_68407,Navy,,,,,,,,,
product_variation,1251,3.36,,,,,,,,,,,,,,KP190_68412_68407,Slate Grey,,,,,,,,,
product,1252,3,Pet met contrastererende bies  - 6 panelen,100% katoen. Pet met 6 panelen en contrasterende bies. Verstelbare sluiting met metalen gesp en zelfblokkerende lus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383847&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383847&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390748&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390749&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390750&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383846&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390747&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214322&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214321&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214320&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Beige / White,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Black / Dark Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Dark Grey / Light Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Forest Green / Beige,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Light Grey / Dark Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Navy / White,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Red / White,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Royal Blue / White,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,White / Navy,RADIOBUTTONS,TRUE,,,,,
product_option,1252,,,,,,,,,,,,,,,,,Color,Yellow / Dark Grey,RADIOBUTTONS,TRUE,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68414_68413,Beige / White,,,,,,,,,One Size
product_variation,1252,3,,,,,,,,,,,,,,KP191_68415_68413,Black / Dark Grey,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68416_68413,Dark Grey / Light Grey,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68417_68413,Forest Green / Beige,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68418_68413,Light Grey / Dark Grey,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68419_68413,Navy / White,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68420_68413,Red / White,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68421_68413,Royal Blue / White,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68422_68413,White / Navy,,,,,,,,,
product_variation,1252,3,,,,,,,,,,,,,,KP191_68423_68413,Yellow / Dark Grey,,,,,,,,,
product,1253,2.8,Pet - 6 panelen,100% katoen. Pet 6 panelen. Verstelbare sluiting met metalen gesp en zelfblokkerende lus.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383845&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383845&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390744&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390746&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390745&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214319&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214318&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214317&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Beige,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Fuchsia,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Kelly Green,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,
product_option,1253,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68425_68424,Beige,,,,,,,,,One Size
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68426_68424,Black,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68427_68424,Burgundy,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68428_68424,Dark Grey,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68429_68424,Forest Green,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68430_68424,Fuchsia,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68431_68424,Kelly Green,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68432_68424,Light Grey,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68433_68424,Lime,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68434_68424,Navy,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68435_68424,Orange,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68436_68424,Red,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68437_68424,Royal Blue,,,,,,,,,
product_variation,1253,2.8,,,,,,,,,,,,,,KP192_68438_68424,White,,,,,,,,,
product,1254,5.7,Pet van biologisch katoen met contrasterende bies - 6 panelen,"100% katoen. De pet is volledig gemaakt van biologisch katoen. Het EVE VEGAN 01-gecertificeerd met het label EVE VEGAN®. Pet met 6 panelen en bies in een contrasterende kleur. Verstelbare sluiting met metalen gesp. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/8, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=383834&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383834&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383835&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390732&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390730&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390729&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383832&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214364&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214315&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214362&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383833&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390731&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,
product_option,1254,,,,,,,,,,,,,,,,,Color,Almond Green / Ivory,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Black / White,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Green Field / Ivory,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Hibiscus Red / Ivory,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Iron Grey / Pineapple,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Metal Grey / White,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Navy Blue / White,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Organic Khaki / Black,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Peach / Metal Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Sea Blue / Navy Blue,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,Wet Sand / White,RADIOBUTTONS,TRUE,,,,,
product_option,1254,,,,,,,,,,,,,,,,,Color,White / Hibiscus Red,RADIOBUTTONS,TRUE,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68440_68439,Almond Green / Ivory,,,,,,,,,One Size
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68441_68439,Black / White,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68442_68439,Green Field / Ivory,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68443_68439,Hibiscus Red / Ivory,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68444_68439,Iron Grey / Pineapple,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68445_68439,Metal Grey / White,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68446_68439,Navy Blue / White,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68447_68439,Organic Khaki / Black,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68448_68439,Peach / Metal Grey,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68449_68439,Sea Blue / Navy Blue,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68450_68439,Wet Sand / White,,,,,,,,,
product_variation,1254,5.7,,,,,,,,,,,,,,KP198_68451_68439,White / Hibiscus Red,,,,,,,,,
product,1255,4.34,Pet - 6 panelen,100% zwaar geborsteld katoen. Verstelbare klittenbandsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390739&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390739&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383843&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390740&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Beige,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Light Grey,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,
product_option,1255,,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,
