type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_variation_option_Size
product,1301,8.3,Muts gebreid met gerecycled garen,55% gerecycled polyester / 20% acryl / 20% polyamide 5% wol.<br/>Muts gebreid van gerecycled polyester en acryl.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390657&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390657&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390658&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214495&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214494&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383783&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,1301,,,,,,,,,,,,,,,Color,Dark indigo heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1301,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1301,,,,,,,,,,,,,,,Color,Silver Heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1301,8.3,,,,,,,,,,,,KP553_68453_68452,Dark indigo heather,,,,,,,,,,,,,,One Size
product_variation,1301,8.3,,,,,,,,,,,,KP553_68454_68452,Silver Heather,,,,,,,,,,,,,,
product,1302,9.06,"Pomponmuts, gebreid met gerecycled garen.",70% polyester / 30% acryl. Pomponmuts gebreid met gerecycled polyester en acryl.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390655&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390655&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390654&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390653&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390656&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214461&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214307&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383782&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,1302,,,,,,,,,,,,,,,Color,Light Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1302,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,1302,,,,,,,,,,,,,,,Color,Light Sand Heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,1302,9.06,,,,,,,,,,,,KP555_68456_68455,Light Grey Heather,,,,,,,,,,,,,,One Size
product_variation,1302,9.06,,,,,,,,,,,,KP555_68457_68455,Light Sand Heather,,,,,,,,,,,,,,
