type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9
product,1351,95.1,"Gevlochten, lederen riem",100% leder. Volnerf rundleder met aniline gevlochten afwerking. Met de hand gevlochten lederen riem. Verkrijgbaar in 2 maten – 90 cm en 105 cm – om zo de maten XS tot XXL te beslaan. Bij dit artikel zit een personaliseerbaar opbergtasje.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=217820&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Kledingaccessoires,Riem,https://media.europeancatalog.com/ws.php?act=download&mamfileid=217820&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1351,,,,,,,,,,,,Color,Dark Brown,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1351,,,,,,,,,,,,Size,M/L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1351,,,,,,,,,,,,Size,XL/XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1351,95.1,,,,,,,,KP821_68466_68464,Dark Brown,M/L,,,,,,,,,,,,
product_variation,1351,95.1,,,,,,,,KP821_68466_68465,Dark Brown,XL/XXL,,,,,,,,,,,,
product,1352,80.4,"Gevlochten, tweekleurige riem",Gevlochten riem in een mix van leder en katoen in contrasterende kleuren. Verkrijgbaar in 2 maten – 90 cm en 105 cm – om zo de maten XS tot XXL te beslaan. Bij dit artikel zit een personaliseerbaar opbergtasje.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=217819&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,K-up,Kledingaccessoires,Riem,https://media.europeancatalog.com/ws.php?act=download&mamfileid=217819&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1352,,,,,,,,,,,,Color,Dark Brown / Light Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1352,,,,,,,,,,,,Size,M/L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,1352,,,,,,,,,,,,Size,XL/XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,1352,80.4,,,,,,,,KP822_68469_68467,Dark Brown / Light Navy,M/L,,,,,,,,,,,,
product_variation,1352,80.4,,,,,,,,KP822_68469_68468,Dark Brown / Light Navy,XL/XXL,,,,,,,,,,,,
