type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_variation_option_Size,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29
product,1401,109.68,Damesjeans Carol straight,"Rechte, klassieke jeans met een hoge, comfortabele taille die het figuur beter tot zijn recht laat komen. Gemaakt van donker, gemarmerd denim met comfortabele stretch. Op de broekspijp zit een lichte slijtplek. Goudkleurige naden en gulp met rits.<br/>Kleur Dark roberto: 94,5% katoen / 4,5% polyester / 1% elasthan. <br/>Kleur Mid soho: 99% katoen / 1% elasthan.<br/>",https://media.europeancatalog.com/ws.php?act=download&mamfileid=368624&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Lee,Kleding,Jean,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368624&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368620&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368607&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368622&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368609&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368613&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368610&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368617&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368615&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368612&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368618&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Color,Dark Ruby,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W27/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W28/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W28/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W29/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W29/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W30/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W30/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W31/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W31/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W32/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W32/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Size,W33/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_option,1401,,,,,,,,,,,,,,,,,,,,,Color,Mid soho,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78165,Dark Ruby,,,,,,,,,,,,,,,,,,W27/L31,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78166,Dark Ruby,,,,,,,,,,,,,,,,,,W28/L31,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78167,Dark Ruby,,,,,,,,,,,,,,,,,,W28/L33,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78168,Dark Ruby,,,,,,,,,,,,,,,,,,W29/L31,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78169,Dark Ruby,,,,,,,,,,,,,,,,,,W29/L33,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78170,Dark Ruby,,,,,,,,,,,,,,,,,,W30/L31,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78171,Dark Ruby,,,,,,,,,,,,,,,,,,W30/L33,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78172,Dark Ruby,,,,,,,,,,,,,,,,,,W31/L31,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78173,Dark Ruby,,,,,,,,,,,,,,,,,,W31/L33,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78174,Dark Ruby,,,,,,,,,,,,,,,,,,W32/L31,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78175,Dark Ruby,,,,,,,,,,,,,,,,,,W32/L33,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30UC_78177_78176,Dark Ruby,,,,,,,,,,,,,,,,,,W33/L33,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70854,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70855,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70856,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70857,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70858,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70859,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70860,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70861,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70862,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70863,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70864,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
product_variation,1401,109.68,,,,,,,,,,,,,,,,,,L30U_70867_70865,Mid soho,,,,,,,,,,,,,,,,,,,,,,,
