type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_variation_option_Size,product_media_gallery_image_url_8,product_media_gallery_image_url_9
product,101,13.22,Militair heuptasje Molle,Polyester 600D. Afneembaar etiket. Verwisselbare Rip-Strip™ patch voor decoratie. Hoofdvak met ritssluiting. Voorzak met rits. Aanpasbare heupband met veilige sluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387924&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387924&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196613&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196614&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,
product_option,101,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,101,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,101,,,,,,,,,,,,,Color,Military Green,RADIOBUTTONS,TRUE,,,,,,,
product_variation,101,13.22,,,,,,,,,,BG842_83270_70673,Black,,,,,,,,,One Size,,
product_variation,101,13.22,,,,,,,,,,BG842_70674_70673,Military Green,,,,,,,,,,,
product,102,25.18,Rugzak Roll-Top,"Polyester 600D. Afneembaar etiket. Gewatteerd vak voor laptop van max. 15,6. Gewatteerde achterkant en verstevigde bodem. Aanpasbare, gewatteerde schouderbanden. Handgreep.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=206196&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206196&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196611&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196612&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196610&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196609&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196607&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196608&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,102,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,102,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,102,,,,,,,,,,,,,Color,Military Green,RADIOBUTTONS,TRUE,,,,,,,
product_variation,102,25.18,,,,,,,,,,BG855_70676_70675,Black,,,,,,,,,One Size,,
product_variation,102,25.18,,,,,,,,,,BG855_70677_70675,Military Green,,,,,,,,,,,
product,103,157.56,Celeste Dress,"67% viscose, 29% polyamide, 4% elasthan. Jurk in jersey met gekartelde hals, korte mouwen, een rekbare taille en 2 ritszakken. Wasbaar in de machine 30°C.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=390322&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Brook Taverner,Kleding,Jurk,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390322&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390321&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266513&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266511&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,103,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Size,34 EU (6 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Size,36 EU (8 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Size,38 EU (10 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Size,40 EU (12 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Size,42 EU (14 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Size,44 EU (16 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Size,46 EU (18 UK),RADIOBUTTONS,TRUE,,,,,,,
product_option,103,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_variation,103,157.56,,,,,,,,,,BT2365_77983_77975,Black,,,,,,,,,34 EU (6 UK),,
product_variation,103,157.56,,,,,,,,,,BT2365_77983_77976,Black,,,,,,,,,36 EU (8 UK),,
product_variation,103,157.56,,,,,,,,,,BT2365_77983_77977,Black,,,,,,,,,38 EU (10 UK),,
product_variation,103,157.56,,,,,,,,,,BT2365_77983_77978,Black,,,,,,,,,40 EU (12 UK),,
product_variation,103,157.56,,,,,,,,,,BT2365_77983_77979,Black,,,,,,,,,42 EU (14 UK),,
product_variation,103,157.56,,,,,,,,,,BT2365_77983_77980,Black,,,,,,,,,44 EU (16 UK),,
product_variation,103,157.56,,,,,,,,,,BT2365_77983_77981,Black,,,,,,,,,46 EU (18 UK),,
product_variation,103,157.56,,,,,,,,,,BT2365_77984_77975,Navy,,,,,,,,,,,
product_variation,103,157.56,,,,,,,,,,BT2365_77984_77976,Navy,,,,,,,,,,,
product_variation,103,157.56,,,,,,,,,,BT2365_77984_77977,Navy,,,,,,,,,,,
product_variation,103,157.56,,,,,,,,,,BT2365_77984_77978,Navy,,,,,,,,,,,
product_variation,103,157.56,,,,,,,,,,BT2365_77984_77979,Navy,,,,,,,,,,,
product_variation,103,157.56,,,,,,,,,,BT2365_77984_77980,Navy,,,,,,,,,,,
product_variation,103,157.56,,,,,,,,,,BT2365_77984_77981,Navy,,,,,,,,,,,
