type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size
product,1551,33.2,Uniseks Sweater,"85 % biologisch katoen / 15 % post-consumer gerecycled polyester<br/>XXS > 4XL<br/>Gekamd en ringgesponnen katoen.<br/>Fitted pasvorm.<br/>LSF-geborsteld fleece LSF 3 draden<br/>(Low Shrinkage Fleece: voorgekrompen fleece).<br/>Halvemaan op de achterkant.<br/>1 x 1 ribboord aan de hals, de zoom<br/>en de mouwboorden.<br/>Dubbel stiksel aan de mouwboorden, de mouwinzetten de zoom.<br/>Enkel stiksel aan de halsopening.<br/>Nektape aan de binnenzijde achterkant.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=403529&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Native Spirit,Kleding,Sweatshirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403529&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403531&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403519&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403497&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402467&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=302158&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402462&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402460&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402459&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402458&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402456&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402457&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206974&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=276658&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=276659&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=276637&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=302153&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402461&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402487&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402475&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403513&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=408993&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=413186&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=416010&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=416019&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Adriatic Blue,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXS,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,
product_option,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,
