type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_variation_option_Size
product,1601,45.35,Heren joggingbroek,85 % biologisch katoen / 15 % post-consumer gerecycled polyester<br/>XS > 4XL<br/>Gekamd en ringgesponnen katoen.<br/>Geborsteld fleece 3 draden LSF<br/>(Low Shrinkage Fleece).<br/>Tailleband van 1 x 1 ribboord met<br/>aanrijgkoordje en knoopsgatoogje.<br/>Zijzakken en omzoomde achterzak.<br/>1 x 1 ribboord onder aan de broekspijpen.<br/>,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402370&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Native Spirit,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402370&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402369&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=403497&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=402452&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=301688&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=301686&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=301684&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=301685&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=301689&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=413210&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Aquamarine,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Ivory,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Jade Green,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Moon Grey Heather,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Navy Blue,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Organic Khaki,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Raw Natural,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Volcano Grey Heather,RADIOBUTTONS,TRUE,,,,,,
product_option,1601,,,,,,,,,,,,,,,,,,,,Color,Wet Sand,RADIOBUTTONS,TRUE,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_72300,Aquamarine,,,,,,,,,,XS
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_68876,Aquamarine,,,,,,,,,,S
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_68879,Aquamarine,,,,,,,,,,M
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_68880,Aquamarine,,,,,,,,,,L
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_68883,Aquamarine,,,,,,,,,,XL
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_68884,Aquamarine,,,,,,,,,,XXL
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_69851,Aquamarine,,,,,,,,,,3XL
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_81345_69855,Aquamarine,,,,,,,,,,4XL
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_72300,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_68876,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_68879,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_68880,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_68883,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_68884,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_69851,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700C_68891_69855,Black,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700_81347_81336,Ivory,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700_81347_81337,Ivory,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700_81347_81338,Ivory,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700_81347_81339,Ivory,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700_81347_81340,Ivory,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700_81347_81341,Ivory,,,,,,,,,,
product_variation,1601,45.35,,,,,,,,,,,,,,,,,NS700_81347_81342,Ivory,,,,,,,,,,
