type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_19,product_variation_option_Size
product,1851,55.34,Uniseks poncho met capuchon van badstof,"100% katoen. Gemaakt van 100% biologisch katoen. Terrystof. De capuchon is gekruist aan de voorkant. Grote, open middenzak aan de binnenkant. 2 zijopeningen op halve hoogte voor gemakkelijk aan- en uittrekken. 2 zijsplitten met verstevigende naden. Halvemaanvormige halsopening op de achterkant, voor eenvoudige personalisatie van het merk aan de binnenkant. Tear-away merklabel. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/6, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=251333&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,PROACT®,Kleding,Poncho,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251333&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251328&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251322&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251324&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251318&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251327&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251330&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251319&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251323&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251326&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251325&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251331&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251329&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251332&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251320&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=251321&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374958&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374959&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,
product_option,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,
product_option,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Camel,RADIOBUTTONS,TRUE,,
product_option,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,
product_variation,1851,55.34,,,,,,,,,,,,,,,,,,,,,,,,,PA581_84951_75707,Black,,,,,,S/M
product_variation,1851,63.7,,,,,,,,,,,,,,,,,,,,,,,,,PA581X_84950_75708,Black,,,,,,L/XL
product_variation,1851,55.34,,,,,,,,,,,,,,,,,,,,,,,,,PA581_84952_75707,Camel,,,,,,
product_variation,1851,63.7,,,,,,,,,,,,,,,,,,,,,,,,,PA581X_84953_75708,Camel,,,,,,
product_variation,1851,55.34,,,,,,,,,,,,,,,,,,,,,,,,,PA581_75709_75707,Navy,,,,,,
product_variation,1851,63.7,,,,,,,,,,,,,,,,,,,,,,,,,PA581X_75710_75708,Navy,,,,,,
product,1852,31.86,Kinderponcho met capuchon van badstof,"100% katoen. Gemaakt van 100% biologisch katoen. Terrystof. De capuchon is gekruist aan de voorkant. Grote, open middenzak aan de binnenkant. 2 zijopeningen op halve hoogte voor gemakkelijk aan- en uittrekken. 2 zijsplitten met verstevigende naden. Halvemaanvormige halsopening op de achterkant, voor eenvoudige personalisatie van het merk aan de binnenkant. Tear-away merklabel. Gecertificeerd STANDARD 100 by OEKO-TEX®N° CQ1007/6, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=249178&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,PROACT®,Kleding,Poncho,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249178&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249172&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249174&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249173&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249179&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249177&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249176&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249175&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=249171&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374956&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374957&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,6/10 years (6/10 ans),RADIOBUTTONS,TRUE,,
product_option,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,10/14 years (10/14 ans),RADIOBUTTONS,TRUE,,
product_option,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Camel,RADIOBUTTONS,TRUE,,
product_option,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,
product_variation,1852,31.86,,,,,,,,,,,,,,,,,,,,,,,,,PA582_84954_75711,Black,,,,,,6/10 years (6/10 ans)
product_variation,1852,36.14,,,,,,,,,,,,,,,,,,,,,,,,,PA582X_84955_75712,Black,,,,,,10/14 years (10/14 ans)
product_variation,1852,31.86,,,,,,,,,,,,,,,,,,,,,,,,,PA582_84957_75711,Camel,,,,,,
product_variation,1852,36.14,,,,,,,,,,,,,,,,,,,,,,,,,PA582X_84956_75712,Camel,,,,,,
product_variation,1852,31.86,,,,,,,,,,,,,,,,,,,,,,,,,PA582_75713_75711,Navy,,,,,,
product_variation,1852,36.14,,,,,,,,,,,,,,,,,,,,,,,,,PA582X_75714_75712,Navy,,,,,,
