type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_variation_option_Size
product,1901,44.94,Damesbadpak,"100% polyester waarvan 43% polybutyleentereftalaat. Heel rekbare stof. Chloorbestendig. UV 50+ bescherming. Blijf beter zitten dankzij de brede schouderbandjes. Hooguitgesneden voor een afslankend effect. Ronde opening ann de achterkant. Voering aan de voorkant om doorschijnen te voorkomen. Dubbel stiksel. Gemaakt in Spanje. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=201768&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,PROACT®,Kleding,Maillot de bain,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201768&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201765&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201770&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201769&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201763&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201764&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201767&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201766&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246342&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=246339&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374954&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374955&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Dark Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,1901,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Red,RADIOBUTTONS,TRUE,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69156_69150,Black,,,,,,,,,,XS
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69156_69151,Black,,,,,,,,,,S
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69156_69152,Black,,,,,,,,,,M
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69156_69153,Black,,,,,,,,,,L
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69156_69154,Black,,,,,,,,,,XL
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69156_69155,Black,,,,,,,,,,XXL
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69157_69150,Sporty Dark Navy,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69157_69151,Sporty Dark Navy,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69157_69152,Sporty Dark Navy,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69157_69153,Sporty Dark Navy,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69157_69154,Sporty Dark Navy,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69157_69155,Sporty Dark Navy,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69158_69150,Sporty Red,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69158_69151,Sporty Red,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69158_69152,Sporty Red,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69158_69153,Sporty Red,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69158_69154,Sporty Red,,,,,,,,,,
product_variation,1901,44.94,,,,,,,,,,,,,,,,,,,PA940_69158_69155,Sporty Red,,,,,,,,,,
product,1902,43.6,Meisjesbadpak,"100% polyester waarvan 43% polybutyleentereftalaat. Heel rekbare stof. Chloorbestendig. UV 50+ bescherming. Blijf beter zitten dankzij de brede schouderbandjes. Ronde opening ann de achterkant. Voering aan de voorkant om doorschijnen te voorkomen. Dubbel stiksel. Gemaakt in Spanje.  Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197857&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,PROACT®,Kleding,Maillot de bain,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197857&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197858&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197856&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=374953&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,
product_option,1902,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,
product_option,1902,,,,,,,,,,,,,,,,,,,,,,Size,6/8 ans,RADIOBUTTONS,TRUE,,,,,,
product_option,1902,,,,,,,,,,,,,,,,,,,,,,Size,8/10 ans,RADIOBUTTONS,TRUE,,,,,,
product_option,1902,,,,,,,,,,,,,,,,,,,,,,Size,10/12 ans,RADIOBUTTONS,TRUE,,,,,,
product_option,1902,,,,,,,,,,,,,,,,,,,,,,Size,12/14 ans,RADIOBUTTONS,TRUE,,,,,,
product_option,1902,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Dark Navy,RADIOBUTTONS,TRUE,,,,,,
product_option,1902,,,,,,,,,,,,,,,,,,,,,,Color,Sporty Red,RADIOBUTTONS,TRUE,,,,,,
