type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10
product,151,301.02,Holton S3,Zeer duurzame en onder alle omstandigheden comfortabele CAT veiligheidsschoenen. 2 haak en lus vetersluiting en Goodyear welt constructie. Waterafstotend nubuckleren bovendeel. Gewatteerde kraag voor extra comfort. Vochtafvoerende mesh. Stalen top en lekbestendige zool. Uitneembare PU binnenzool met hielpolstering. Hittebestendige en koolwaterstofbestendige buitenzool. Norm EN ISO 20345:2011 S3 HRO SRA.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375922&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Caterpillar,Schoenen & Accessoires,Veiligheidsschoenen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375922&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375923&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375924&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,
product_option,151,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Size,40 EU,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Size,41 EU,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Size,42 EU,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Size,43 EU,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Size,44 EU,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Size,45 EU,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Size,46 EU,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Color,Dark Brown,RADIOBUTTONS,TRUE,,,,,,,,
product_option,151,,,,,,,,,,,,,Color,Honey,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72249_72242,Black,,,,,40 EU,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72249_72243,Black,,,,,41 EU,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72249_72244,Black,,,,,42 EU,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72249_72245,Black,,,,,43 EU,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72249_72246,Black,,,,,44 EU,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72249_72247,Black,,,,,45 EU,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72249_72248,Black,,,,,46 EU,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72250_72242,Dark Brown,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72250_72243,Dark Brown,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72250_72244,Dark Brown,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72250_72245,Dark Brown,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72250_72246,Dark Brown,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72250_72247,Dark Brown,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72250_72248,Dark Brown,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72251_72242,Honey,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72251_72243,Honey,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72251_72244,Honey,,,,,,,,,,,,
product_variation,151,301.02,,,,,,,,,,CATPOWER_72251_72245,Honey,,,,,,,,,,,,
