type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_variation_option_Size,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13
product,2001,24.22,Schort in biologisch fairtradedenim,100% twillkatoen. Twee opgezette zakken zijn afgewerkt met contrasterende naden. De lengte van het schort is aanpasbaar met een gesp. Thuis wassen op 40 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268723&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268723&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268722&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,2001,,,,,,,,,,,,Color,Black Denim,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2001,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2001,,,,,,,,,,,,Color,Brown Denim,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2001,,,,,,,,,,,,Color,Indigo Denim,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2001,24.22,,,,,,,,,PR113_70578_70577,Black Denim,,,,,,One Size,,,,,,,,,,
product_variation,2001,24.22,,,,,,,,,PR113_70579_70577,Brown Denim,,,,,,,,,,,,,,,,
product_variation,2001,24.22,,,,,,,,,PR113_70580_70577,Indigo Denim,,,,,,,,,,,,,,,,
product,2002,24.22,Gerecycled en biologisch schort met bovenstuk,65% gerecycled polyester / 35% katoen. Twee schuine zijzakken. De lengte van het schort is aanpasbaar met een gesp aan de halsriem. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=304294&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=304294&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,2002,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
