type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_variation_option_Size,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9
product,2051,29.5,Coolchecker® koksjas met korte mouwen,"65% polyester / 35% katoen. Omhullende sluiting met tien stoffen knopen. Dubbel penzakje op de linkermouw. Maokraag. Het middelste rugpand is gemaakt van Coolchecker®, een stof met een goed vochtbeheer. Thuis wassen op 60 °C.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=268400&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Premier,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268400&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268340&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,
product_option,2051,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,2051,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,
product_option,2051,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,
product_option,2051,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,
product_option,2051,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,
product_option,2051,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,
product_option,2051,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,
product_option,2051,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70603_70597,Black,,,,,,,,XS,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70603_70598,Black,,,,,,,,S,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70603_70599,Black,,,,,,,,M,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70603_70600,Black,,,,,,,,L,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70603_70601,Black,,,,,,,,XL,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70603_70602,Black,,,,,,,,XXL,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70604_70597,White,,,,,,,,,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70604_70598,White,,,,,,,,,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70604_70599,White,,,,,,,,,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70604_70600,White,,,,,,,,,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70604_70601,White,,,,,,,,,,,
product_variation,2051,29.5,,,,,,,,,,PR902_70604_70602,White,,,,,,,,,,,
product,2052,10,Heuptasje,Polyester 600D. Aanpasbare heupriem. Sluithaak voor sleutels. Verschillende ritszakken.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206578&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206578&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204274&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204273&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204272&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247638&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247637&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,2052,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,2052,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,2052,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,2052,,,,,,,,,,,,,Color,Graphite Grey,RADIOBUTTONS,TRUE,,,,,,,
product_variation,2052,10,,,,,,,,,,QD12_70695_70694,Black,,,,,,,,One Size,,,
product_variation,2052,10,,,,,,,,,,QD12_70696_70694,French Navy,,,,,,,,,,,
product_variation,2052,10,,,,,,,,,,QD12_70697_70694,Graphite Grey,,,,,,,,,,,
