type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_variation_option_Size,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12
product,2101,3.56,Veiligheidsvestje voor kids,"100% polyester. Lichte, mouwloos hesje met een hoge zichtbaarheid voor kinderen. Reflecterende stroken van 50 mm op het lichaam. Omboorde randen in grijs polyester. Handige klittenbandsluiting vooraan.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=392301&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392301&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,2101,,,,,,,,,,,Color,Fluorescent pink,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2101,,,,,,,,,,,Size,4/6 years (4/6 ans),RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2101,,,,,,,,,,,Size,7/9 years (7/9 ans),RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2101,,,,,,,,,,,Size,10/12 years (10/12 ans),RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2101,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2101,,,,,,,,,,,Color,Royal,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2101,3.56,,,,,,,,R200JEV_70747_70744,Fluorescent pink,,,,,,,,,,,,,4/6 years (4/6 ans),,,
product_variation,2101,3.56,,,,,,,,R200JEV_70747_70745,Fluorescent pink,,,,,,,,,,,,,7/9 years (7/9 ans),,,
product_variation,2101,3.56,,,,,,,,R200JEV_70747_70746,Fluorescent pink,,,,,,,,,,,,,10/12 years (10/12 ans),,,
product_variation,2101,3.56,,,,,,,,R200JEV_70748_70744,Lime,,,,,,,,,,,,,,,,
product_variation,2101,3.56,,,,,,,,R200JEV_70748_70745,Lime,,,,,,,,,,,,,,,,
product_variation,2101,3.56,,,,,,,,R200JEV_70748_70746,Lime,,,,,,,,,,,,,,,,
product_variation,2101,3.56,,,,,,,,R200JEV_70749_70744,Royal,,,,,,,,,,,,,,,,
product_variation,2101,3.56,,,,,,,,R200JEV_70749_70745,Royal,,,,,,,,,,,,,,,,
product_variation,2101,3.56,,,,,,,,R200JEV_70749_70746,Royal,,,,,,,,,,,,,,,,
product,2102,68.88,Reistas van wasdoek Heritage,"100% katoen. Katoenen wasdoek. Lederen afwerkingen. Verbindingsstukken in verouderd messing. Binnenzak voor waardevolle voorwerpen. Volledig gevoerd. Extra lang voorvak met ritssluiting voor gemakkelijke toegang. Hengsels in katoencanvas. Verstelbare en afneembare schouderriem. Om aan de hand of de schouder te dragen. De ritssluiting van de voering is verborgen, voor gemakkelijke toegang tot de decoratie.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=391786&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391786&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391785&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=395826&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267448&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267449&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=267445&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391787&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391784&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391788&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,
product_option,2102,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2102,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,2102,,,,,,,,,,,Color,Olive green,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_variation,2102,68.88,,,,,,,,QD650_77371_77370,Black,,,,,,,,,,,,,One Size,,,
product_variation,2102,68.88,,,,,,,,QD650_77372_77370,Olive green,,,,,,,,,,,,,,,,
