type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_option_Size
product,2201,84.98,Gerecyclede veiligheidsjas ripstop padded,"100% polyester. 100% gerecycled polyester. Gerecyclede gewatteerde ripstop veiligheidsjas. Bestand tegen schuren met REPREVE®. Vulling van gerecycled polyester 200 g/m² REPREVE®. Vezels gemaakt van gerecyclede petflessen. YKK-ritssluiting aan de voorkant met kinbescherming en schuiver. Tailleband, mouwuiteinden en capuchon met elastische bies. Langer achterpand. Gedrukte reflecterende stroken op het lichaam, de schouders en de mouwen. Zijzakken met rits. Gewatteerde capuchon. Binnenzak. Ophanglus. Norm High Viz: EN ISO 20471: 2013+A1: 2016 Klasse 2 (RIS-3279-TOM Klasse 2 (enkel oranje model)).",https://media.europeancatalog.com/ws.php?act=download&mamfileid=392467&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392467&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392466&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Color,Fluorescent Orange,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,2201,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,2201,84.98,,,,,,,,,R500X_70756_70750,Fluorescent Orange,,,,,,,,,,,,,,S
