type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5
product,2251,4.02,Muts dubbel tricot,50% gerecycled polyester / 50% polyacryl. Patch van 100% twillkatoen voor bedrukking. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Sneldrogend (Quick Dry). Muts met omgevouwen boord. Dubbele dikte. <br/>,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392505&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392505&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2251,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2251,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,2251,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_variation,2251,4.02,,,,,,,,RC927X_70832_70831,Black,,,,,,,,
product_variation,2251,4.02,,,,,,,,RC927X_70833_70831,Navy,,,,,,,,
product,2252,3.46,Muts in gerecyclede polyester,50% gerecycled polyester / 50% polyacryl. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Sneldrogend (Quick Dry). Muts met omgevouwen boord. Dubbele dikte.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198314&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198314&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392504&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,2252,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2252,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,2252,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_variation,2252,3.46,,,,,,,,RC929X_70835_70834,Black,,,,,,,,
product_variation,2252,3.46,,,,,,,,RC929X_70836_70834,Navy,,,,,,,,
product,2253,3.56,Gerecyclede klassieke muts,50% gerecycled polyester / 50% polyacryl. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Sneldrogend (Quick Dry). Muts met omgevouwen boord in contrasterende kleuren. Dubbele dikte.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198364&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=198364&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392503&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392502&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392501&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,
product_option,2253,,,,,,,,,,,Color,Black / Grey,RADIOBUTTONS,TRUE,,,,
product_option,2253,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,2253,,,,,,,,,,,Color,Black / Lime,RADIOBUTTONS,TRUE,,,,
product_option,2253,,,,,,,,,,,Color,Black / Orange,RADIOBUTTONS,TRUE,,,,
product_option,2253,,,,,,,,,,,Color,Black / Red,RADIOBUTTONS,TRUE,,,,
product_option,2253,,,,,,,,,,,Color,Black / Royal,RADIOBUTTONS,TRUE,,,,
product_option,2253,,,,,,,,,,,Color,Black / Yellow,RADIOBUTTONS,TRUE,,,,
product_variation,2253,3.56,,,,,,,,RC930X_70838_70837,Black / Grey,,,,,,,,
product_variation,2253,3.56,,,,,,,,RC930X_70839_70837,Black / Lime,,,,,,,,
product_variation,2253,3.56,,,,,,,,RC930X_70840_70837,Black / Orange,,,,,,,,
product_variation,2253,3.56,,,,,,,,RC930X_70841_70837,Black / Red,,,,,,,,
product_variation,2253,3.56,,,,,,,,RC930X_70842_70837,Black / Royal,,,,,,,,
product_variation,2253,3.56,,,,,,,,RC930X_70843_70837,Black / Yellow,,,,,,,,
product,2254,5.76,Gerecyclede Thinsulate™ muts,50% gerecycled polyester / 50% polyacryl. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Sneldrogend (Quick Dry). Muts met omgevouwen boord. Dubbele dikte. Voering in Thinsulate™.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392500&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392500&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2254,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2254,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,2254,,,,,,,,,,,Color,Charcoal,RADIOBUTTONS,TRUE,,,,
product_option,2254,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_variation,2254,5.76,,,,,,,,RC933X_70845_70844,Black,,,,,,,,
product_variation,2254,5.76,,,,,,,,RC933X_70846_70844,Charcoal,,,,,,,,
product_variation,2254,5.76,,,,,,,,RC933X_70847_70844,Navy,,,,,,,,
product,2255,6.32,Bedrukbare muts in gerecycled Thinsulate™,50% gerecycled polyester / 50% polyacryl. Patch van 100% twillkatoen voor bedrukking. Duurzaam kwaliteitsgaren. Gemaakt van petflessen. Sneldrogend (Quick Dry). Muts met omgevouwen boord. Dubbele dikte. Voering in Thinsulate™.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392499&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=392499&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2255,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,
product_option,2255,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
product_option,2255,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,
product_option,2255,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,
product_variation,2255,6.32,,,,,,,,RC934X_70849_70848,Black,,,,,,,,
product_variation,2255,6.32,,,,,,,,RC934X_70850_70848,Navy,,,,,,,,
product_variation,2255,6.32,,,,,,,,RC934X_70851_70848,Red,,,,,,,,
product,2256,5.76,Braided Snood,100% acryl. Grof gebreid Chunky". met voering. Ontvouwbare zoom. Geschikt voor borduring.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=71341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Result,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=71341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=71342&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,
product_option,2256,,,,,,,,,,,Color,Black / Grey,RADIOBUTTONS,TRUE,,,,
product_option,2256,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,
