type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8
product,2301,3.76,Antibacterieel gezichtsmasker wasbaar & herbruikbaar,"Neus, mond, kingebied: PROLEN®Siltex antibacteriële vezels met zilverionen kunnen kleine deeltjes uit de lucht filteren. <br/>Wanggebied: het gebreide gaas maakt luchtcirculatie mogelijk. <br/>Zacht, licht en ademend, zeer comfortabel om te dragen en ideaal voor mensen met een gevoelige huid. <br/>Past goed achter de oren en kan urenlang gedragen worden. <br/>Herbruikbaar: PROLEN®Siltex behoudt zijn antibacteriële eigenschappen tot 20 wasbeurten. Dit masker laat gemakkelijk lucht binnen en voorkomt dat er vocht binnendringt, waardoor u gemakkelijker kunt ademen terwijl u stof en andere vervuilende stoffen buiten houdt. Individueel verpakt. <br/>Alleen met de hand wassen en aan de lucht drogen. <br/>Afmetingen: 22 x 10 cm. <br/>PROLEN®Siltex is een polypropyleengaren dat behandeld is met een permanent antibacterieel additief op basis van zilverionen. Getest en gecertificeerd op Klebsiella Pneumoniae, Staphyloccucus Aureus en Escherichia Coli. <br/>Veelzijdig: vermindert het risico op het inademen van gassen, schadelijke geuren, pollen, rook, stof en andere schadelijke deeltjes voor ziekenhuizen, scholen, reizen, schoonmaken, schilderen, bouw of buitenactiviteiten. <br/>Niet-medisch. <br/>RESULT Essentiële Hygiëneproducten kunnen samen met PBM's worden gebruikt door gezondheidswerkers, maar RESULT geeft geen garanties dat ze de overdracht of infectie van ziekten of virussen kunnen voorkomen.",,Result,Accessoires,Masques,,,,,,,,,,,,,,,
product_option,2301,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2301,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,2301,3.76,,,,,,,RV009X_67642_67641,Black,One Size,,,,,,,,,,,,
product,2302,35.54,Men s long sleeve tailored Oxford shirt,"70% katoen / 30% polyester oxford. Getailleerd. Verstevigde Kent kraag met versterkte punten. Verstelbare manchetten met afgeronde hoeken. Easy Care. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=387673&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Russell,Kleding,Overhemd,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387673&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387672&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,2302,,,,,,,,,,,Color,Oxford Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2302,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2302,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2302,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2302,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2302,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2302,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2302,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70366_70360,Oxford Blue,S,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70366_70361,Oxford Blue,M,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70366_70362,Oxford Blue,L,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70366_70363,Oxford Blue,XL,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70366_70364,Oxford Blue,XXL,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70366_70365,Oxford Blue,3XL,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70367_70360,White,,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70367_70361,White,,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70367_70362,White,,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70367_70363,White,,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70367_70364,White,,,,,,,,,,,,,
product_variation,2302,35.54,,,,,,,RU922M_70367_70365,White,,,,,,,,,,,,,
product,2303,13.08,T-shirt Classique met lange mouwen,"100% katoen. T-shirt Classique lange mouwen is de versie lange mouwen van ons meest verkochte T-shirt, T-shirt Classique. Het tijdloze klassieke model, de hoogwaardige stof en de productiekwaliteit verzekeren een superieur comfort en betere bedrukkingsresultaten. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=387609&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Russell,Kleding,T-shirt,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387609&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387608&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,2303,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Color,Convoy Grey,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,,,
product_option,2303,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82699_82685,Black,S,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82699_82688,Black,M,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82699_82689,Black,L,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82699_82692,Black,XL,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82699_82693,Black,XXL,,,,,,,,,,,,
product_variation,2303,17.32,,,,,,,RUZT180LCX_82700_82695,Black,3XL,,,,,,,,,,,,
product_variation,2303,17.32,,,,,,,RUZT180LCX_82700_82698,Black,4XL,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82702_82685,Convoy Grey,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82702_82688,Convoy Grey,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82702_82689,Convoy Grey,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82702_82692,Convoy Grey,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82702_82693,Convoy Grey,,,,,,,,,,,,,
product_variation,2303,17.32,,,,,,,RUZT180LCX_82701_82695,Convoy Grey,,,,,,,,,,,,,
product_variation,2303,17.32,,,,,,,RUZT180LCX_82701_82698,Convoy Grey,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82703_82685,French Navy,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82703_82688,French Navy,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82703_82689,French Navy,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82703_82692,French Navy,,,,,,,,,,,,,
product_variation,2303,13.08,,,,,,,RUZT180LC_82703_82693,French Navy,,,,,,,,,,,,,
product_variation,2303,17.32,,,,,,,RUZT180LCX_82704_82695,French Navy,,,,,,,,,,,,,
product_variation,2303,17.32,,,,,,,RUZT180LCX_82704_82698,French Navy,,,,,,,,,,,,,
product_variation,2303,9.96,,,,,,,RUZT180L_82706_82686,White,,,,,,,,,,,,,
product_variation,2303,9.96,,,,,,,RUZT180L_82706_82687,White,,,,,,,,,,,,,
product_variation,2303,9.96,,,,,,,RUZT180L_82706_82690,White,,,,,,,,,,,,,
product_variation,2303,9.96,,,,,,,RUZT180L_82706_82691,White,,,,,,,,,,,,,
product_variation,2303,9.96,,,,,,,RUZT180L_82706_82694,White,,,,,,,,,,,,,
product_variation,2303,13.76,,,,,,,RUZT180LX_82705_82696,White,,,,,,,,,,,,,
product_variation,2303,13.76,,,,,,,RUZT180LX_82705_82697,White,,,,,,,,,,,,,
product,2304,32.26,Men s short sleeve tailored Oxford shirt,"70% katoen / 30% polyester oxford. Getailleerd. Verstevigde Kent kraag met versterkte punten. Easy Care. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=441592&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Russell,Kleding,Overhemd,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441592&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441593&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441591&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441589&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441588&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441587&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441586&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=441585&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo
product_option,2304,,,,,,,,,,,Color,Oxford Blue,RADIOBUTTONS,TRUE,,,,,,,,
