type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4
product,2401,2.3,Volwassenenmasker AFNOR UNS1 UNS 2 - Herbruikbaar en wasbaar - pak van 5 masker,"Zachte 3-laags katoenen stof. <br/>Rubber in de naad en zijkanten voor een betere houvast en fixatie. <br/>Machinewasbaar tot 60°. 10 wasbeurten getest.<br/>Ademend vermogen, doorlaatbaarheid en filtratie zijn getest door een onafhankelijk geaccrediteerd laboratorium (filtratie is meer dan 70%). <br/>Perfect voor drukwerk.<br/>De etikettering van de verpakking is beschikbaar in 26 Europese talen. <br/>De instructiefolder Hoe het masker te dragen en te verwijderen" zit in de polybag.<br/>Masker van Cat. 2 Volgens de AFNOR-norm, Test DGA N° Report RP/20-5014/DGA MNRBC/2000305/NP Version 1<br/>Masker van Cat. 1 na 10 wasbeurten Volgens de AFNOR-norm, Test DGA N° Report RP/20-5073/DGA MNRBC/2000305/NP Version 1",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266983&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Fruit of the Loom,Accessoires,Masques,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266983&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391122&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391163&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,2401,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,2401,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,2401,2.3,,,,,,,,,,SC6M014_67639_67638,Black,One Size,,,,,
product,2402,8.44,Korte damestop,"96% katoen / 4% elasthan. Korte top. Racerback. Dubbel stiksel op de zoom, de mouwopeningen en de hals. Afneembaar etiket.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=391868&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Skinni Fit,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391868&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391869&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,2402,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,2402,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,
product_option,2402,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,
product_option,2402,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,
product_option,2402,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,
product_option,2402,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,
product_variation,2402,8.44,,,,,,,,,,SK106_70540_70535,Black,XS,,,,,
product_variation,2402,8.44,,,,,,,,,,SK106_70540_70536,Black,S,,,,,
product_variation,2402,8.44,,,,,,,,,,SK106_70540_70537,Black,M,,,,,
product_variation,2402,8.44,,,,,,,,,,SK106_70540_70538,Black,L,,,,,
product_variation,2402,8.44,,,,,,,,,,SK106_70540_70539,Black,XL,,,,,
product,2403,17.62,Pyjamabroek kind,96% katoen / 4% elasthan. Rekbare pyjamabroek met elastische tailleband en imitatie-aanrijgkoordjes. Opgestroopte zoom in dezelfde stof. Afneembaar etiket.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391894&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Skinni Fit,Pyjama's,Pyjama's,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391894&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391893&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,2403,,,,,,,,,,,,,,Color,Navy / White,RADIOBUTTONS,TRUE,
product_option,2403,,,,,,,,,,,,,,Size,5/6 years (5/6 ans),RADIOBUTTONS,TRUE,
product_option,2403,,,,,,,,,,,,,,Size,7/8 years (7/8 ans),RADIOBUTTONS,TRUE,
product_option,2403,,,,,,,,,,,,,,Size,9/10 years (9/10 ans),RADIOBUTTONS,TRUE,
product_option,2403,,,,,,,,,,,,,,Size,11/12 years (11/12 ans),RADIOBUTTONS,TRUE,
product_option,2403,,,,,,,,,,,,,,Size,13 ans,RADIOBUTTONS,TRUE,
product_option,2403,,,,,,,,,,,,,,Color,Red / White,RADIOBUTTONS,TRUE,
product_variation,2403,17.62,,,,,,,,,,SM085_70546_70541,Navy / White,5/6 years (5/6 ans),,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70546_70542,Navy / White,7/8 years (7/8 ans),,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70546_70543,Navy / White,9/10 years (9/10 ans),,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70546_70544,Navy / White,11/12 years (11/12 ans),,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70546_70545,Navy / White,13 ans,,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70547_70541,Red / White,,,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70547_70542,Red / White,,,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70547_70543,Red / White,,,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70547_70544,Red / White,,,,,,
product_variation,2403,17.62,,,,,,,,,,SM085_70547_70545,Red / White,,,,,,
product,2404,7.38,Korte kindertop,"93% katoen / 7% elasthan. Kort bovenstuk kind. Racerback. Stiksel op de zoom, in de kraag en aan de mouwinzet. Afneembaar etiket.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=391895&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Skinni Fit,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391895&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2404,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,2404,,,,,,,,,,,,,,Size,5/6 ans,RADIOBUTTONS,TRUE,
product_option,2404,,,,,,,,,,,,,,Size,7/8 ans,RADIOBUTTONS,TRUE,
product_option,2404,,,,,,,,,,,,,,Size,9/10 ans,RADIOBUTTONS,TRUE,
product_option,2404,,,,,,,,,,,,,,Size,11/12 ans,RADIOBUTTONS,TRUE,
product_variation,2404,7.38,,,,,,,,,,SM106_77734_77730,Black,5/6 ans,,,,,
product_variation,2404,7.38,,,,,,,,,,SM106_77734_77731,Black,7/8 ans,,,,,
product_variation,2404,7.38,,,,,,,,,,SM106_77734_77732,Black,9/10 ans,,,,,
product_variation,2404,7.38,,,,,,,,,,SM106_77734_77733,Black,11/12 ans,,,,,
product,2405,35.36,Ecologische joggingbroek voor dames,60% geregenereerd katoen / 40% gerecycleerd polyester. Broek met brede broekspijpen. Elastische tailleband met aanrijgkoordjes. Zijzakken. Ton-sur-ton stiksel als afwerking. Zonder etiket.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391888&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Skinni Fit,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391888&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2405,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Color,Dusty pink,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Color,Heather Grey,RADIOBUTTONS,TRUE,
product_option,2405,,,,,,,,,,,,,,Color,Khaki,RADIOBUTTONS,TRUE,
product_variation,2405,35.36,,,,,,,,,,SK431XS_77720_77706,Black,XS,,,,,
product_variation,2405,35.36,,,,,,,,,,SK431_77718_77709,Black,S,,,,,
product_variation,2405,35.36,,,,,,,,,,SK431_77718_77710,Black,M,,,,,
product_variation,2405,35.36,,,,,,,,,,SK431_77718_77713,Black,L,,,,,
product_variation,2405,35.36,,,,,,,,,,SK431_77718_77714,Black,XL,,,,,
product_variation,2405,35.36,,,,,,,,,,SK431X_77719_77717,Black,XXL,,,,,
product_variation,2405,37,,,,,,,,,,SK431CXS_77723_77707,Dusty pink,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77721_77708,Dusty pink,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77721_77711,Dusty pink,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77721_77712,Dusty pink,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77721_77715,Dusty pink,,,,,,
product_variation,2405,37,,,,,,,,,,SK431CX_77722_77716,Dusty pink,,,,,,
product_variation,2405,37,,,,,,,,,,SK431CXS_77724_77707,Heather Grey,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77726_77708,Heather Grey,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77726_77711,Heather Grey,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77726_77712,Heather Grey,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77726_77715,Heather Grey,,,,,,
product_variation,2405,37,,,,,,,,,,SK431CX_77725_77716,Heather Grey,,,,,,
product_variation,2405,37,,,,,,,,,,SK431CXS_77729_77707,Khaki,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77727_77708,Khaki,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77727_77711,Khaki,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77727_77712,Khaki,,,,,,
product_variation,2405,37,,,,,,,,,,SK431C_77727_77715,Khaki,,,,,,
product_variation,2405,37,,,,,,,,,,SK431CX_77728_77716,Khaki,,,,,,
product,2406,11.7,"Korte, ecologische damestop",48% geregenereerd katoen / 47% gerecycleerd polyester/ 5% elasthan. Korte top. Regelbare schouderbandjes. Dubbele dikte aan de voorkant. Geribde elastische band. Zonder etiket.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391929&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Skinni Fit,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391929&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,2406,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,2406,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,
product_option,2406,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,
product_option,2406,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,
product_option,2406,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,
product_option,2406,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,
product_option,2406,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,
product_option,2406,,,,,,,,,,,,,,Color,Dusty pink,RADIOBUTTONS,TRUE,
