type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_option_Size
product,201,13.36,MY POLO 180 Dames korte mouwen,"100% voorgesponnen Ring-Spun katoen (behalve Sport Grey: 90% voorgesponnen Ring-Spun katoen / 10% viscose). Tijdloos, klassiek, modern en gemakkelijk te dragen model. Deze piquépolo met hoge dichtheid voelt zacht aan en heeft een goede bedrukkingskwaliteit. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 1501003X, Centexbel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=401931&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,B&C,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=401931&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,201,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Blush Blue,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Blush Mint,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Blush Pink,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Dark Forest,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Ivy Green,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Mastic,RADIOBUTTONS,TRUE,,,
product_option,201,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,
