type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_option_Size,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13
product,2451,19.98,Sweater kind Slounge,"Black: 80% katoen / 20% polyester. Heather grey: 70% katoen / 30% viscose. Binnenzijde van fleece. Oversized sweater met verkorte, onafgewerkte zoom. Opgestroopte mouwen. Afhangende schouders. Afneembaar etiket.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=391902&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Skinni Fit,Kleding,Sweatshirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391902&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,2451,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2451,,,,,,,,,,,Size,5/6 years (5/6 ans),RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2451,,,,,,,,,,,Size,7/8 years (7/8 ans),RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2451,,,,,,,,,,,Size,9/10 years (9/10 ans),RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2451,,,,,,,,,,,Size,11/12 years (11/12 ans),RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2451,,,,,,,,,,,Size,13 ans,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2451,,,,,,,,,,,Color,Heather Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70553_70548,Black,,,,,,,5/6 years (5/6 ans),,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70553_70549,Black,,,,,,,7/8 years (7/8 ans),,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70553_70550,Black,,,,,,,9/10 years (9/10 ans),,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70553_70551,Black,,,,,,,11/12 years (11/12 ans),,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70553_70552,Black,,,,,,,13 ans,,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70554_70548,Heather Grey,,,,,,,,,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70554_70549,Heather Grey,,,,,,,,,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70554_70550,Heather Grey,,,,,,,,,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70554_70551,Heather Grey,,,,,,,,,,,,,,,,,
product_variation,2451,19.98,,,,,,,,SM515_70554_70552,Heather Grey,,,,,,,,,,,,,,,,,
product,2452,128.74,Trui van biologisch katoen Williams River,100% biologisch katoen. Trui met ronde hals en Timberland® logo op de borst geborduurd. Rechte snit. Ribboord aan de mouwen en onderaan.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=446117&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Timberland,Kleding,Pullover/Cardigan/Gilet,https://media.europeancatalog.com/ws.php?act=download&mamfileid=446117&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Color,Dark Sapphire,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,2452,,,,,,,,,,,Color,Wheat Boot,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77895_70941,Black,,,,,,,S,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77895_70942,Black,,,,,,,M,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77895_70943,Black,,,,,,,L,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77895_70944,Black,,,,,,,XL,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77895_70945,Black,,,,,,,XXL,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77895_70946,Black,,,,,,,3XL,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_70947_70941,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_70947_70942,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_70947_70943,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_70947_70944,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_70947_70945,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_70947_70946,Dark Sapphire,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77896_70941,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77896_70942,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77896_70943,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77896_70944,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77896_70945,Wheat Boot,,,,,,,,,,,,,,,,,
product_variation,2452,128.74,,,,,,,,TB0A2BMM_77896_70946,Wheat Boot,,,,,,,,,,,,,,,,,
