type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10
product,2501,2.74,Shopper van katoen,100% katoen. Grote inhoud. Om aan de hand of de schouder te dragen. Lengte van het hengsel: 58 cm.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204668&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Westford Mill,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204668&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,2501,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2501,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2501,2.74,,,,,,,,W125_70703_70702,Natural,One Size,,,,,,,,,,,,,
product,2502,32.4,Dameslegging,86% polyester / 14% elasthan. Legging met hoge taille en brede tailleband. Rekbare en ademende stof. Gsm-zakje links. Afneembaar etiket.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394229&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Tombo,Kleding,Broek/Kuitbroek,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394229&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394230&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391937&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391935&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394228&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,
product_option,2502,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2502,,,,,,,,,,,,Size,XXS/XS,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2502,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2502,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2502,,,,,,,,,,,,Color,Hot coral,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2502,,,,,,,,,,,,Color,Turquoise blue,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70558_70555,Black,XXS/XS,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70558_70556,Black,S/M,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70558_70557,Black,L/XL,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70559_70555,Hot coral,,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70559_70556,Hot coral,,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70559_70557,Hot coral,,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70560_70555,Turquoise blue,,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70560_70556,Turquoise blue,,,,,,,,,,,,,,
product_variation,2502,32.4,,,,,,,,TL370_70560_70557,Turquoise blue,,,,,,,,,,,,,,
product,2503,28.12,Sportbeha,"86% polyester / 14% elasthan. Ronde hals met gekruiste elastische schouderbandjes op de rug. Sluit met haakjes. Vaste, niet-uitneembare cups. Afneembaar etiket.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=394227&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Tombo,Ondergoed,Sportbh,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394227&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394226&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391936&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391935&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,
product_option,2503,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2503,,,,,,,,,,,,Size,XXS,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2503,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2503,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2503,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2503,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2503,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2503,,,,,,,,,,,,Color,Turquoise blue,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70567_70561,Black,XXS,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70567_70562,Black,XS,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70567_70563,Black,S,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70567_70564,Black,M,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70567_70565,Black,L,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70567_70566,Black,XL,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70568_70561,Turquoise blue,,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70568_70562,Turquoise blue,,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70568_70563,Turquoise blue,,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70568_70564,Turquoise blue,,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70568_70565,Turquoise blue,,,,,,,,,,,,,,
product_variation,2503,28.12,,,,,,,,TL371_70568_70566,Turquoise blue,,,,,,,,,,,,,,
product,2504,12.58,Dames-t-shirt.,68% polyester / 28% viscose / 4% polyurethaan. Oversized model en open kraag. Afhangende schoudernaden en verlengde zoom aan de achterkant. Afneembaar etiket.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391934&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Tombo,Kleding,T-shirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391934&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,2504,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2504,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2504,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2504,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2504,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2504,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2504,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2504,12.58,,,,,,,,TL527_70575_70569,Black,XS,,,,,,,,,,,,,
product_variation,2504,12.58,,,,,,,,TL527_70575_70570,Black,S,,,,,,,,,,,,,
product_variation,2504,12.58,,,,,,,,TL527_70575_70571,Black,M,,,,,,,,,,,,,
product_variation,2504,12.58,,,,,,,,TL527_70575_70572,Black,L,,,,,,,,,,,,,
