type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_variation_sku,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29,product_media_gallery_image_url_30,product_media_gallery_image_url_31,product_media_gallery_image_url_32,product_media_gallery_image_url_33,product_media_gallery_image_url_34,product_media_gallery_image_url_35,product_media_gallery_image_url_36,product_media_gallery_image_url_37,product_media_gallery_image_url_38,product_media_gallery_image_url_39,product_media_gallery_image_url_40,product_media_gallery_image_url_41
product,2601,30.6,Heren thermoshirt lange mouwen,80% polyester / 20% viscose. Warme onderkleding. Ronde hals. Afwerking met dubbele stiksels aan de mouwuiteinden en onderaan.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255103&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Ondergoed,Ondershirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255103&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255101&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255100&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=178794&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255099&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375218&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2601,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,2601,30.6,,,,,,,,,,,,,WK801_67066_67059,Black,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,2601,30.6,,,,,,,,,,,,,WK801_67066_67060,Black,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,2601,30.6,,,,,,,,,,,,,WK801_67066_67061,Black,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,2601,30.6,,,,,,,,,,,,,WK801_67066_67062,Black,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,2601,30.6,,,,,,,,,,,,,WK801_67066_67063,Black,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,2601,30.6,,,,,,,,,,,,,WK801_67066_67064,Black,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_variation,2601,30.6,,,,,,,,,,,,,WK801_67066_67065,Black,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,2602,25.14,Heren thermobroek,80% polyester / 20% viscose. Elastische tailleband. Gulp-opening. Onderkant broekspijpen strakker.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255098&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Ondergoed,Boxer,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255098&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255097&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255103&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255101&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255095&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=255096&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2602,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2602,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2602,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2602,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,2602,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
