type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_variation_option_Size,product_media_gallery_image_url_10,product_media_gallery_image_url_11
product,2651,10.7,Fluoriserende Winter Pet Met 6 Panelen,100% polyester. 6 panelen met oorbeschermers. Fluoriserende pet met fleece aan de binnenkant. Verstelbaar aanrijgkoord en stopper.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197666&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197666&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197667&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197640&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,2651,,,,,,,,,,,,,Color,Fluorescent Orange,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2651,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2651,,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2651,10.7,,,,,,,,,,WKP122_67551_67550,Fluorescent Orange,,,,,,,,,,,One Size,,
product_variation,2651,10.7,,,,,,,,,,WKP122_67552_67550,Fluorescent Yellow,,,,,,,,,,,,,
product,2652,11.8,Fluoreserende Pet 5 Panelen,100% polyester. 5 verstevigde panelen. Fluoriserende pet. Klittenbandsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197636&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,WK. Designed To Work,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197636&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197665&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,2652,,,,,,,,,,,,,Color,Fluorescent Orange,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2652,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,2652,,,,,,,,,,,,,Color,Fluorescent Yellow,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,2652,11.8,,,,,,,,,,WKP123_67554_67553,Fluorescent Orange,,,,,,,,,,,One Size,,
product_variation,2652,11.8,,,,,,,,,,WKP123_67555_67553,Fluorescent Yellow,,,,,,,,,,,,,
