type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_variation_option_Size
product,2701,7.84,Reflecterende strook,"100% polyester. Spandex. Gemaakt van een elastisch en reflecterend signalisatiemateriaal van 5 cm breed. Twee gespjes voor een betere afstelling. Te dragen rond de taille en op de schouders. Ideaal voor evenementen op de weg, voor veiligheidsagenten, fietsers enz.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=265824&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Yoko,Headwear & Accessoires,Hoed en accessoires,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265824&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265843&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265844&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265867&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,2701,,,,,,,,,,,,,,Color,Hi Vis Orange,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2701,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2701,,,,,,,,,,,,,,Color,Hi Vis Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2701,,,,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2701,,,,,,,,,,,,,,Color,Pink,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,2701,7.84,,,,,,,,,,,YHVW064_77788_77787,Hi Vis Orange,,,,,,,,,,,,,,,One Size
product_variation,2701,7.84,,,,,,,,,,,YHVW064_77789_77787,Hi Vis Yellow,,,,,,,,,,,,,,,
product_variation,2701,7.84,,,,,,,,,,,YHVW064_77790_77787,Lime,,,,,,,,,,,,,,,
product_variation,2701,7.84,,,,,,,,,,,YHVW064_77791_77787,Pink,,,,,,,,,,,,,,,
product,2702,6.62,Tweekleurig signalisatiehesje,"100% polyester. Tweekleurig contrastgilet, gemaakt van 100% gerecycled polyester, met klittenbandsluiting; Twee 5 cm brede reflecterende strepen rond het lichaam en één op elke schouder; Geel/oranje Hi-Vis conform EN ISO20471:2013 Klasse 2; Alle andere kleuren voldoen aan EN ISO20471:2013 Klasse 1.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=394427&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Yoko,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=394427&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=421485&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=421486&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Color,Hi Vis Yellow / Black,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Color,Hi Vis Yellow / Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Color,Hi Vis Yellow / Orange,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Color,Hi Vis Yellow / Paramedic Green,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Color,Hi Vis Yellow / Red,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,2702,,,,,,,,,,,,,,Color,Hi Vis Yellow / Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,2702,6.62,,,,,,,,,,,YHVW122_82216_82211,Hi Vis Yellow / Black,,,,,,,,,,,,,,,M
product_variation,2702,6.62,,,,,,,,,,,YHVW122_82216_82212,Hi Vis Yellow / Black,,,,,,,,,,,,,,,L
product_variation,2702,6.62,,,,,,,,,,,YHVW122_82216_82213,Hi Vis Yellow / Black,,,,,,,,,,,,,,,XL
