type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size
product,251,28.86,Potenza x Classic schort met ringen,"65% polyester / 35% katoen.  Schort met 4 ringen. 2 ringen vooraan en 2 ringen ter hoogte van de taille. Fitted pasvorm. Verwisselbare riem met drukknopen. Wordt op de rug gekruist en vooraan geknoopt. Verkocht zonder riem (referentie CI02). Gemaakt in Duitsland. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 512-0301, HOHENSTEIN HTTI.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197034&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,CG International,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197034&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202729&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202727&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202731&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202726&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202724&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202722&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197033&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197037&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,
product_option,251,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,251,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,251,,,,,,,,,,,,,,,,,,,Color,Cherry,RADIOBUTTONS,TRUE,
product_option,251,,,,,,,,,,,,,,,,,,,Color,Griffin,RADIOBUTTONS,TRUE,
product_option,251,,,,,,,,,,,,,,,,,,,Color,Khaki,RADIOBUTTONS,TRUE,
product_option,251,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,
product_option,251,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,
product_option,251,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,
product_variation,251,28.86,,,,,,,,,,,,,,,,CI01_70502_70501,Black,,,,,One Size
product_variation,251,28.86,,,,,,,,,,,,,,,,CI01_70503_70501,Cherry,,,,,
product_variation,251,28.86,,,,,,,,,,,,,,,,CI01_70504_70501,Griffin,,,,,
product_variation,251,28.86,,,,,,,,,,,,,,,,CI01_70505_70501,Khaki,,,,,
product_variation,251,28.86,,,,,,,,,,,,,,,,CI01_70506_70501,Navy,,,,,
product_variation,251,28.86,,,,,,,,,,,,,,,,CI01_70507_70501,Red,,,,,
product_variation,251,28.86,,,,,,,,,,,,,,,,CI01_70508_70501,White,,,,,
product,252,13.62,Set riemen voor schort Potenza x Classic,"65% polyester / 35% katoen. Dubbele riem met drukknopen. Bijpassend bij het schort Potenza x Classic (referentie CI01).  Te bevestigen aan de ringen van het schort. Wordt op de rug gekruist en vooraan het schort geknoopt. Gemaakt in Duitsland. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 512-0301, HOHENSTEIN HTTI.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=367167&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,CG International,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=367167&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,252,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,252,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,252,,,,,,,,,,,,,,,,,,,Color,Cherry,RADIOBUTTONS,TRUE,
product_option,252,,,,,,,,,,,,,,,,,,,Color,Griffin,RADIOBUTTONS,TRUE,
product_option,252,,,,,,,,,,,,,,,,,,,Color,Khaki,RADIOBUTTONS,TRUE,
product_option,252,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,
product_option,252,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,
product_option,252,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,
product_variation,252,13.62,,,,,,,,,,,,,,,,CI02_70510_70509,Black,,,,,One Size
product_variation,252,13.62,,,,,,,,,,,,,,,,CI02_70511_70509,Cherry,,,,,
product_variation,252,13.62,,,,,,,,,,,,,,,,CI02_70512_70509,Griffin,,,,,
product_variation,252,13.62,,,,,,,,,,,,,,,,CI02_70513_70509,Khaki,,,,,
product_variation,252,13.62,,,,,,,,,,,,,,,,CI02_70514_70509,Navy,,,,,
product_variation,252,13.62,,,,,,,,,,,,,,,,CI02_70515_70509,Red,,,,,
product_variation,252,13.62,,,,,,,,,,,,,,,,CI02_70516_70509,White,,,,,
product,253,27.4,Milano Classic heupschort met split,"65% polyester / 35% katoen. Schort met split voor een optimaal draagcomfort. Wordt geknoopt in de taille. Knielengte voor meer bewegingsvrijheid. Versterkte naden. Gemaakt in Duitsland. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 512-0301, HOHENSTEIN HTTI.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197108&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,CG International,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197108&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,253,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,253,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_option,253,,,,,,,,,,,,,,,,,,,Color,Cherry,RADIOBUTTONS,TRUE,
product_option,253,,,,,,,,,,,,,,,,,,,Color,Khaki,RADIOBUTTONS,TRUE,
product_option,253,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,
product_option,253,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,
product_variation,253,27.4,,,,,,,,,,,,,,,,CI03_70518_70517,Black,,,,,One Size
product_variation,253,27.4,,,,,,,,,,,,,,,,CI03_70519_70517,Cherry,,,,,
product_variation,253,27.4,,,,,,,,,,,,,,,,CI03_70520_70517,Khaki,,,,,
product_variation,253,27.4,,,,,,,,,,,,,,,,CI03_70521_70517,Navy,,,,,
product_variation,253,27.4,,,,,,,,,,,,,,,,CI03_70522_70517,Red,,,,,
product,254,17.64,Grafter Knee Pads (EX. DSA66),"Materie uit copolymeer acetaat met binaire vinyl densiteit. Licht en comfortabel. Soepele kniebeschermers, makkelijk in te brengen in de daarvoor bestemde zakken van Grafters en Redhawk broeken. EN 14404 : 2010 type 2 level 1.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=390570&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Dickies,Kledingaccessoires,Kniebeschermers,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390570&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390569&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,
product_option,254,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,
product_option,254,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,
product_variation,254,17.64,,,,,,,,,,,,,,,,DK0A4XS3_72368_72367,Black,,,,,One Size
