type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13
product,301,13.58,Classic Retro Trucker pet,Buitenstof 1: 100% katoen. Buitenstof 2: 100% gerecycled polyester. Tweekleurige truckerspet. De voorkant en de zonneklep van de pet zijn gemaakt van ondoorzichtig katoen. De achterkant is gemaakt van ademende mesh van gerecycled polyester. Eén maat. Verstelbaar met een drukknoopsluiting in een bijpassende kleur.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199433&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,FLEXFIT,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199433&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199432&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199431&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,
product_option,301,,,,,,,,,,,,,Color,BLACK / WHITE,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,301,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,301,,,,,,,,,,,,,Color,CHARCOAL / BLACK,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,301,,,,,,,,,,,,,Color,NAVY / WHITE,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,301,13.58,,,,,,,,,,FL6606RT_71027_71026,BLACK / WHITE,,,,,One Size,,,,,,,,,,
product_variation,301,13.58,,,,,,,,,,FL6606RT_71028_71026,CHARCOAL / BLACK,,,,,,,,,,,,,,,
product_variation,301,13.58,,,,,,,,,,FL6606RT_71029_71026,NAVY / WHITE,,,,,,,,,,,,,,,
product,302,23.94,Gebogen kniebeschermers (SA68),"Vinylacetaat-polymeer met dubbele densiteit. Gebogen, soepele en gewatteerde kniebeschermers. Flexibel en dus gemakkelijk in de zakken van de overalls en broeken te steken.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=221967&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Dickies,Kledingaccessoires,Kniebeschermers,https://media.europeancatalog.com/ws.php?act=download&mamfileid=221967&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=221966&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,302,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,302,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_variation,302,23.94,,,,,,,,,,DK0A4XTN_72610_72609,Black,,,,,One Size,,,,,,,,,,
product,303,88.22,Herensweater met capuchon LOGO (TW45A),"Black:  55% katoen / 45% polyester. Grey: 70% katoen / 30% polyester. Sweater met fleece en capuchon, met het logo van Dickies aan de voorkant. Kangoeroezak. Casual stijl.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=222005&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Dickies,Kleding,Sweatshirt,https://media.europeancatalog.com/ws.php?act=download&mamfileid=222005&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=222007&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=222001&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=222002&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=222003&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,
product_option,303,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,303,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,
product_option,303,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,
