type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_variation_option_Size
product,401,14.44,Piqué-herenpolo Bio180,"100% katoen. Deze piquépolo werd gemaakt van 100% biologisch gekamd katoen. Rechte snit. Kraag en mouwuiteinden in 1x1 ribboord. Knooplijst met 2 toon op toon knopen. Nektape in de binnenzijde van de kraag en zijsplitten. Zijnaden. Afwerking met dubbel stiksel aan de onderkant. Geen merklabel in de kraag, maar enkel een maatlabel voor eenvoudige personalisatie. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=201344&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201344&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201345&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201342&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201341&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201340&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201339&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201338&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201343&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201346&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=406393&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=406392&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Forest Green,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Light Royal Blue,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Light Sand,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Orange,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,Snow Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_option,401,,,,,,,,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67722_67701,Black,,,,,,,,,,,,,,,,,S
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67722_67703,Black,,,,,,,,,,,,,,,,,M
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67722_67707,Black,,,,,,,,,,,,,,,,,L
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67722_67709,Black,,,,,,,,,,,,,,,,,XL
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67722_67713,Black,,,,,,,,,,,,,,,,,XXL
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_67721_67717,Black,,,,,,,,,,,,,,,,,3XL
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_67721_67718,Black,,,,,,,,,,,,,,,,,4XL
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78560_67701,Dark Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78560_67703,Dark Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78560_67707,Dark Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78560_67709,Dark Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78560_67713,Dark Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78561_67717,Dark Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78561_67718,Dark Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78563_67701,Forest Green,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78563_67703,Forest Green,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78563_67707,Forest Green,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78563_67709,Forest Green,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78563_67713,Forest Green,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78562_67717,Forest Green,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78562_67718,Forest Green,,,,,,,,,,,,,,,,,
product_variation,401,19.8,,,,,,,,,,,,,,,,,,K2025A_67723_67702,Grey Heather,,,,,,,,,,,,,,,,,
product_variation,401,19.8,,,,,,,,,,,,,,,,,,K2025A_67723_67704,Grey Heather,,,,,,,,,,,,,,,,,
product_variation,401,19.8,,,,,,,,,,,,,,,,,,K2025A_67723_67708,Grey Heather,,,,,,,,,,,,,,,,,
product_variation,401,19.8,,,,,,,,,,,,,,,,,,K2025A_67723_67710,Grey Heather,,,,,,,,,,,,,,,,,
product_variation,401,19.8,,,,,,,,,,,,,,,,,,K2025A_67723_67714,Grey Heather,,,,,,,,,,,,,,,,,
product_variation,401,19.8,,,,,,,,,,,,,,,,,,K2025AX_67724_67715,Grey Heather,,,,,,,,,,,,,,,,,
product_variation,401,19.8,,,,,,,,,,,,,,,,,,K2025AX_67724_67719,Grey Heather,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78564_67701,Light Royal Blue,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78564_67703,Light Royal Blue,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78564_67707,Light Royal Blue,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78564_67709,Light Royal Blue,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78564_67713,Light Royal Blue,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78565_67717,Light Royal Blue,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78565_67718,Light Royal Blue,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78567_67701,Light Sand,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78567_67703,Light Sand,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78567_67707,Light Sand,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78567_67709,Light Sand,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78567_67713,Light Sand,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78566_67717,Light Sand,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78566_67718,Light Sand,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67726_67701,Navy,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67726_67703,Navy,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67726_67707,Navy,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67726_67709,Navy,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_67726_67713,Navy,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_67725_67717,Navy,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_67725_67718,Navy,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78568_67701,Orange,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78568_67703,Orange,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78568_67707,Orange,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78568_67709,Orange,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78568_67713,Orange,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78569_67717,Orange,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78569_67718,Orange,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78571_67701,Red,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78571_67703,Red,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78571_67707,Red,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78571_67709,Red,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78571_67713,Red,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78570_67717,Red,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78570_67718,Red,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78572_67701,Snow Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78572_67703,Snow Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78572_67707,Snow Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78572_67709,Snow Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025C_78572_67713,Snow Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78573_67717,Snow Grey,,,,,,,,,,,,,,,,,
product_variation,401,14.44,,,,,,,,,,,,,,,,,,K2025CX_78573_67718,Snow Grey,,,,,,,,,,,,,,,,,
product_variation,401,12.56,,,,,,,,,,,,,,,,,,K2025_67727_67700,White,,,,,,,,,,,,,,,,,
product_variation,401,12.56,,,,,,,,,,,,,,,,,,K2025_67727_67705,White,,,,,,,,,,,,,,,,,
product_variation,401,12.56,,,,,,,,,,,,,,,,,,K2025_67727_67706,White,,,,,,,,,,,,,,,,,
product_variation,401,12.56,,,,,,,,,,,,,,,,,,K2025_67727_67711,White,,,,,,,,,,,,,,,,,
product_variation,401,12.56,,,,,,,,,,,,,,,,,,K2025_67727_67712,White,,,,,,,,,,,,,,,,,
product_variation,401,12.56,,,,,,,,,,,,,,,,,,K2025X_67728_67716,White,,,,,,,,,,,,,,,,,
product_variation,401,12.56,,,,,,,,,,,,,,,,,,K2025X_67728_67720,White,,,,,,,,,,,,,,,,,
