type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_media_gallery_image_url_7
product,IXhQzSdI6DOJLDDf,Veiligheidspet EN812,100% twillkatoen. Voldoet aan de norm EN812. Zweetband van 100% Coolmax® polyester. Binnenschelp van polycarbonaat. Afneembare cover. Ringetjes met mesh.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219817&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Beechfield,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219817&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206583&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196645&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196650&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196649&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,
product_option,IXhQzSdI6DOJLDDf,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,IXhQzSdI6DOJLDDf,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,IXhQzSdI6DOJLDDf,,,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,
product_option,IXhQzSdI6DOJLDDf,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_variation,IXhQzSdI6DOJLDDf,,,,,,,,,,,,B525_70606_70605,14.84,Black,One Size,,,,,,
product_variation,IXhQzSdI6DOJLDDf,,,,,,,,,,,,B525_70607_70605,14.84,French Navy,One Size,,,,,,
product,Eys0S14MklgH7hgj,Pet Rapper 5 panelen,100% twillkatoen. Platte zonneklep. Regelbaar met plastic Snapback-retrotong. Tearaway etiket om het merk gemakkelijker te vervangen.<br/>,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219814&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Beechfield,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=219814&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Color,Bright Royal,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,
product_option,Eys0S14MklgH7hgj,,,,,,,,,,,,,,,,Color,Classic Red,RADIOBUTTONS,TRUE,,
