type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8
product,qSRZjOKcr5RS7iBO,Gerecycleerde toilettas met dubbel vak,100% polyester. Toilettas van 50% gerecycleerd polyester. Dubbel compartiment met ritssluitingen.  De klep met dubbele gesp biedt een mooie personalisatieruimte. 2 hengsels waarmee hij verticaal kan worden opgehangen.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266346&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266346&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,qSRZjOKcr5RS7iBO,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,qSRZjOKcr5RS7iBO,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,qSRZjOKcr5RS7iBO,,,,,,,,KI0370_74153_74152,23.1,Black,One Size,,,,,,,,,,,
product,fA7IW1HPmrWeZhXb,"Groot, gerecycleerd heuptasje met zijtasjes",100% polyester. Groot heuptasje van 50% gerecycleerd polyester. Hoofdvak met ritssluiting. Voorvak met ritssluiting voor eenvoudige personalisatie. Zijtasje met ritssluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263342&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263342&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263340&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263341&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,
product_option,fA7IW1HPmrWeZhXb,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,fA7IW1HPmrWeZhXb,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,fA7IW1HPmrWeZhXb,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,
product_option,fA7IW1HPmrWeZhXb,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,fA7IW1HPmrWeZhXb,,,,,,,,KI0371_74155_74154,13.04,Black,One Size,,,,,,,,,,,
product_variation,fA7IW1HPmrWeZhXb,,,,,,,,KI0371_74156_74154,13.04,Navy,One Size,,,,,,,,,,,
product,aKf3HRAn7B7qzeBM,Gerecycleerde koeltas met zak op de voorkant,100% polyester. Koeltas in 50% gerecycleerd polyester. 100% personaliseerbare zak aan de voorkant. Ritssluitingen met een lint waarop 'cooler bag' staat.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266345&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266345&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,aKf3HRAn7B7qzeBM,,,,,,,,,,,,Color,Tuscany Orange,RADIOBUTTONS,TRUE,,,,,,,
product_option,aKf3HRAn7B7qzeBM,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,aKf3HRAn7B7qzeBM,,,,,,,,,,,,Color,Whale Blue,RADIOBUTTONS,TRUE,,,,,,,
product_option,aKf3HRAn7B7qzeBM,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,aKf3HRAn7B7qzeBM,,,,,,,,KI0372_74158_74157,20.66,Tuscany Orange,One Size,,,,,,,,,,,
product_variation,aKf3HRAn7B7qzeBM,,,,,,,,KI0372_74159_74157,20.66,Whale Blue,One Size,,,,,,,,,,,
product,VH9Uzv4R8DVNLO52,Gerecycleerde koelrugzak met zak op de voorkant,100% polyester. Isotherme rugzak in 50% gerecycleerd polyester. Opent bovenaan aan drie kanten. 100% personaliseerbare zak aan de voorkant. Ritssluitingen met een lint waarop 'cooler bag' staat.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266344&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266344&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,VH9Uzv4R8DVNLO52,,,,,,,,,,,,Color,Dark Cool Grey,RADIOBUTTONS,TRUE,,,,,,,
product_option,VH9Uzv4R8DVNLO52,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,VH9Uzv4R8DVNLO52,,,,,,,,,,,,Color,Whale Blue,RADIOBUTTONS,TRUE,,,,,,,
product_option,VH9Uzv4R8DVNLO52,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,VH9Uzv4R8DVNLO52,,,,,,,,KI0373_77117_77116,36.44,Dark Cool Grey,One Size,,,,,,,,,,,
product_variation,VH9Uzv4R8DVNLO52,,,,,,,,KI0373_77118_77116,36.44,Whale Blue,One Size,,,,,,,,,,,
product,pISw9SHOv8wZEpgA,Gerecycleerd klassiek heuptasje,"100% polyester. Klassiek heuptasje in 50% gerecycleerd polyester. Eén vak aan de voorkant, 100% personaliseerbaar.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277821&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277821&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277820&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266343&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Cypress Green,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Color,Dazzling Blue / White,RADIOBUTTONS,TRUE,,,,,,,
product_option,pISw9SHOv8wZEpgA,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
