type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15
product,5LhNIw0mfHWdJ7mu,"Dubbel compartiment zakje, waarvan één  waterdicht","100% polyester. Zakje met dubbel vak in gerecycled 210D polyester. Ideaal voor het opbergen van uw mondkapjes, nieuw of gebruikt. Contrasterende ritsen om het compartiment te onderscheiden waar de voering is gemaakt van Polyethyleen Vinyl Acetaat, waterdicht materiaal, waar gebruikte mondkapjes goed geïsoleerd zijn. Het andere compartiment voor nieuwe mondkappen is gemaakt van gerecycled polyester. Voor de kleur Black: Gebruikkte mondkap in het vakje met de rode rits, nieuwe mondkap in het vakje met de cool grijze rits; Voor de kleur White: gebruikte mondkap in het vakje met de gele rits, nieuwe mondkap in het vakje met de donkergrijze rits. Zakje wasbaar op 40°.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=197803&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197803&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=197808&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=199177&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207645&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=202979&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,
product_option,5LhNIw0mfHWdJ7mu,,,,,,,,,,,,,,,,Color,Black / Red / Cool Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,5LhNIw0mfHWdJ7mu,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,5LhNIw0mfHWdJ7mu,,,,,,,,,,,,,,,,Color,White / Dark Grey / Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,5LhNIw0mfHWdJ7mu,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,5LhNIw0mfHWdJ7mu,,,,,,,,,,,,KI0749_67575_67574,3.6,Black / Red / Cool Grey,One Size,,,,,,,,,,,,,,
product_variation,5LhNIw0mfHWdJ7mu,,,,,,,,,,,,KI0749_67576_67574,3.6,White / Dark Grey / Yellow,One Size,,,,,,,,,,,,,,
product,93b3ZhpjelXIkz3J,Organizer-tablet voor kabels en accessoires,"100% polyester. Tablet in polyester om kabels te vervoeren. Dankzij een systeem van gekruiste elastieken van verschillende lengtes kunnen alle kabels en accessoires van uw laptops, tablets, smartphones en elk ander elektronisch apparaat hierin worden opgeborgen. Gemakkelijk mee te nemen dankzij het A4-formaat. Past in de meeste rugzakken en werktassen. Achterzak met ritssluiting die gemakkelijk kan worden gepersonaliseerd, om kleine pasjes in te steken.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=266341&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Accessoires voor tassen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=266341&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331308&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,
product_option,93b3ZhpjelXIkz3J,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,93b3ZhpjelXIkz3J,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
