type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15
product,0Op8krWLFcndPbgP,Shopper met motief,"100% katoen. Shopper van 60% gerecycled katoen en 40% zuiver katoen. De tekening toont een herinterpretatie van de Möbiusband, maar met vissen in plaats van pijlen. Een eerbetoon aan water als belangrijkste levensgoed, symbool van vrouwelijkheid, positiviteit en aanpassings- en evolutievermogen.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=206719&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206719&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207309&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207310&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207312&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207308&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207311&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Color,Natural / Black,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Color,Natural / Green Field,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Color,Natural / Red,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Color,Natural / Sea Blue,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,0Op8krWLFcndPbgP,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,0Op8krWLFcndPbgP,,,,,,,,,,,,,KI7202_68349_68348,3.66,Natural / Black,One Size,,,,,,,,,,,,,
product_variation,0Op8krWLFcndPbgP,,,,,,,,,,,,,KI7202_68350_68348,3.66,Natural / Green Field,One Size,,,,,,,,,,,,,
product_variation,0Op8krWLFcndPbgP,,,,,,,,,,,,,KI7202_68351_68348,3.66,Natural / Red,One Size,,,,,,,,,,,,,
product_variation,0Op8krWLFcndPbgP,,,,,,,,,,,,,KI7202_68352_68348,3.66,Natural / Sea Blue,One Size,,,,,,,,,,,,,
product,PidqumohsH6REIq2,Opvouwbare shopper,100% katoen. Opvouwbare shopper van 100% biologisch katoen. De tas wordt opgevouwen in haar eigen tasje en gesloten met een koordje. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ  1164/1 IFTH.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207305&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207305&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207307&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=207306&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,
product_option,PidqumohsH6REIq2,,,,,,,,,,,,,,,,,Color,Natural,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,PidqumohsH6REIq2,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
