type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14
product,Y2DerokhMmjLyJXs,Muts gebreid met gerecycled garen,55% gerecycled polyester / 20% acryl / 20% polyamide 5% wol.<br/>Muts gebreid van gerecycled polyester en acryl.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390657&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390657&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390658&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214495&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214494&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383783&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,
product_option,Y2DerokhMmjLyJXs,,,,,,,,,,,,,,,,Color,Dark indigo heather,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,Y2DerokhMmjLyJXs,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,Y2DerokhMmjLyJXs,,,,,,,,,,,,,,,,Color,Silver Heather,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,Y2DerokhMmjLyJXs,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,Y2DerokhMmjLyJXs,,,,,,,,,,,,KP553_68453_68452,8.3,Dark indigo heather,One Size,,,,,,,,,,,,,
product_variation,Y2DerokhMmjLyJXs,,,,,,,,,,,,KP553_68454_68452,8.3,Silver Heather,One Size,,,,,,,,,,,,,
product,f99QOlDPEA5saecy,"Pomponmuts, gebreid met gerecycled garen.",70% polyester / 30% acryl. Pomponmuts gebreid met gerecycled polyester en acryl.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390655&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,K-up,Headwear & Accessoires,Muts,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390655&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390654&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390653&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=390656&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214461&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=214307&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=383782&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,
product_option,f99QOlDPEA5saecy,,,,,,,,,,,,,,,,Color,Light Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,f99QOlDPEA5saecy,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,
