type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10
product,df97M6qxXmjwcLD0,Militair heuptasje Molle,Polyester 600D. Afneembaar etiket. Verwisselbare Rip-Strip™ patch voor decoratie. Hoofdvak met ritssluiting. Voorzak met rits. Aanpasbare heupband met veilige sluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387924&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387924&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196613&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196614&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,df97M6qxXmjwcLD0,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,df97M6qxXmjwcLD0,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,df97M6qxXmjwcLD0,,,,,,,,,,,,,,Color,Military Green,RADIOBUTTONS,TRUE,,,,,,,
product_option,df97M6qxXmjwcLD0,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,df97M6qxXmjwcLD0,,,,,,,,,,BG842_83270_70673,13.22,Black,One Size,,,,,,,,,,,
product_variation,df97M6qxXmjwcLD0,,,,,,,,,,BG842_70674_70673,13.22,Military Green,One Size,,,,,,,,,,,
product,sln72NVYuGy0xwTB,Rugzak Roll-Top,"Polyester 600D. Afneembaar etiket. Gewatteerd vak voor laptop van max. 15,6. Gewatteerde achterkant en verstevigde bodem. Aanpasbare, gewatteerde schouderbanden. Handgreep.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=206196&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Bag Base,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206196&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196611&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196612&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196610&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196609&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196607&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=196608&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,
product_option,sln72NVYuGy0xwTB,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,sln72NVYuGy0xwTB,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_option,sln72NVYuGy0xwTB,,,,,,,,,,,,,,Color,Military Green,RADIOBUTTONS,TRUE,,,,,,,
product_option,sln72NVYuGy0xwTB,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,
product_variation,sln72NVYuGy0xwTB,,,,,,,,,,BG855_70676_70675,25.18,Black,One Size,,,,,,,,,,,
product_variation,sln72NVYuGy0xwTB,,,,,,,,,,BG855_70677_70675,25.18,Military Green,One Size,,,,,,,,,,,
product,BWjx5ExXS6J244n1,Holton S3,Zeer duurzame en onder alle omstandigheden comfortabele CAT veiligheidsschoenen. 2 haak en lus vetersluiting en Goodyear welt constructie. Waterafstotend nubuckleren bovendeel. Gewatteerde kraag voor extra comfort. Vochtafvoerende mesh. Stalen top en lekbestendige zool. Uitneembare PU binnenzool met hielpolstering. Hittebestendige en koolwaterstofbestendige buitenzool. Norm EN ISO 20345:2011 S3 HRO SRA.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375922&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Caterpillar,Schoenen & Accessoires,Veiligheidsschoenen,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375922&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375923&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=375924&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,40 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,41 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,42 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,43 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,44 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,45 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,46 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Color,Dark Brown,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,40 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,41 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,42 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,43 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,44 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,45 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,46 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Color,Honey,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,40 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,41 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,42 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,BWjx5ExXS6J244n1,,,,,,,,,,,,,,Size,43 EU,RADIOBUTTONS,TRUE,,,,,,,
