type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13
product,TOGqADmgjLbbWgyN,Coolchecker® koksjas met korte mouwen,"65% polyester / 35% katoen. Omhullende sluiting met tien stoffen knopen. Dubbel penzakje op de linkermouw. Maokraag. Het middelste rugpand is gemaakt van Coolchecker®, een stof met een goed vochtbeheer. Thuis wassen op 60 °C.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=268400&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Premier,Kleding,Jas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268400&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268340&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268341&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,XS,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,TOGqADmgjLbbWgyN,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70603_70597,29.5,Black,XS,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70603_70598,29.5,Black,S,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70603_70599,29.5,Black,M,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70603_70600,29.5,Black,L,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70603_70601,29.5,Black,XL,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70603_70602,29.5,Black,XXL,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70604_70597,29.5,White,XS,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70604_70598,29.5,White,S,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70604_70599,29.5,White,M,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70604_70600,29.5,White,L,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70604_70601,29.5,White,XL,,,,,,,,,,,,,,
product_variation,TOGqADmgjLbbWgyN,,,,,,,,,,PR902_70604_70602,29.5,White,XXL,,,,,,,,,,,,,,
product,w3jffLNWrlVpVHoz,Schort in biologisch fairtradedenim,100% twillkatoen. Twee opgezette zakken zijn afgewerkt met contrasterende naden. De lengte van het schort is aanpasbaar met een gesp. Thuis wassen op 40 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268723&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268723&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268722&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,
product_option,w3jffLNWrlVpVHoz,,,,,,,,,,,,,,Color,Black Denim,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,w3jffLNWrlVpVHoz,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,w3jffLNWrlVpVHoz,,,,,,,,,,,,,,Color,Brown Denim,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,w3jffLNWrlVpVHoz,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,w3jffLNWrlVpVHoz,,,,,,,,,,,,,,Color,Indigo Denim,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,w3jffLNWrlVpVHoz,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,w3jffLNWrlVpVHoz,,,,,,,,,,PR113_70578_70577,24.22,Black Denim,One Size,,,,,,,,,,,,,,
product_variation,w3jffLNWrlVpVHoz,,,,,,,,,,PR113_70579_70577,24.22,Brown Denim,One Size,,,,,,,,,,,,,,
product_variation,w3jffLNWrlVpVHoz,,,,,,,,,,PR113_70580_70577,24.22,Indigo Denim,One Size,,,,,,,,,,,,,,
product,98pmRHEB4V7ecS4N,Gerecycled en biologisch schort met bovenstuk,65% gerecycled polyester / 35% katoen. Twee schuine zijzakken. De lengte van het schort is aanpasbaar met een gesp aan de halsriem. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=304294&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=304294&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,
product_option,98pmRHEB4V7ecS4N,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,98pmRHEB4V7ecS4N,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,98pmRHEB4V7ecS4N,,,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,98pmRHEB4V7ecS4N,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,98pmRHEB4V7ecS4N,,,,,,,,,,PR120_70591_70590,24.22,Black,One Size,,,,,,,,,,,,,,
product_variation,98pmRHEB4V7ecS4N,,,,,,,,,,PR120_70592_70590,24.22,White,One Size,,,,,,,,,,,,,,
product,FHyZmWTTAos9n8NU,Waterdicht kappersschort met lange mouwen,100% polyester met polyurethaancoating. Het schort gaat dicht rond de hals met een regelbaar sluitingssysteem. De lange mouwen zijn afgewerkt met een elastische manchet. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268371&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268371&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268370&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268369&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,
product_option,FHyZmWTTAos9n8NU,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,FHyZmWTTAos9n8NU,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,FHyZmWTTAos9n8NU,,,,,,,,,,PR117_70585_70584,11.14,Black,One Size,,,,,,,,,,,,,,
product,efElhcBXNgGuK6Dr,Waterdicht dubbele stropdas loungejurk,100% polyester met polyurethaancoating. Rechte snit. Open zijzakken. De lange mouwen zijn afgewerkt met een elastische manchet. Twee riemen aan de nek en in het midden op de rug houden de bloes op zijn plaats. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268367&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268367&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268366&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=268368&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,
product_option,efElhcBXNgGuK6Dr,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,efElhcBXNgGuK6Dr,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,efElhcBXNgGuK6Dr,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,efElhcBXNgGuK6Dr,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,efElhcBXNgGuK6Dr,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,efElhcBXNgGuK6Dr,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,efElhcBXNgGuK6Dr,,,,,,,,,,PR118_70588_70586,9.72,Black,S/M,,,,,,,,,,,,,,
product_variation,efElhcBXNgGuK6Dr,,,,,,,,,,PR118_70588_70587,9.72,Black,L/XL,,,,,,,,,,,,,,
product_variation,efElhcBXNgGuK6Dr,,,,,,,,,,PR118_70589_70586,9.72,Navy,S/M,,,,,,,,,,,,,,
product_variation,efElhcBXNgGuK6Dr,,,,,,,,,,PR118_70589_70587,9.72,Navy,L/XL,,,,,,,,,,,,,,
product,jCmQtIF2YUbPHDNj,Waterdichte tuniek,100% polyester met polyurethaancoating. Waterdicht en bestand tegen eau de javel. Riem aan de achterkant. Industrieel wassen op 85 °C. Thuis wassen op 60 °C.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275857&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Premier,Kleding,Schort/Tuniek/Werkblouse,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275857&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275858&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275856&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=275859&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,
product_option,jCmQtIF2YUbPHDNj,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,jCmQtIF2YUbPHDNj,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,jCmQtIF2YUbPHDNj,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,jCmQtIF2YUbPHDNj,,,,,,,,,,,,,,Color,Royal,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,jCmQtIF2YUbPHDNj,,,,,,,,,,,,,,Size,S/M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,jCmQtIF2YUbPHDNj,,,,,,,,,,,,,,Size,L/XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,jCmQtIF2YUbPHDNj,,,,,,,,,,PR174_70595_70593,11.86,Black,S/M,,,,,,,,,,,,,,
product_variation,jCmQtIF2YUbPHDNj,,,,,,,,,,PR174_70595_70594,11.86,Black,L/XL,,,,,,,,,,,,,,
product_variation,jCmQtIF2YUbPHDNj,,,,,,,,,,PR174_70596_70593,11.86,Royal,S/M,,,,,,,,,,,,,,
product_variation,jCmQtIF2YUbPHDNj,,,,,,,,,,PR174_70596_70594,11.86,Royal,L/XL,,,,,,,,,,,,,,
product,fXNHcvjAcC1RsL8H,Heuptasje,Polyester 600D. Aanpasbare heupriem. Sluithaak voor sleutels. Verschillende ritszakken.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206578&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206578&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204274&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204273&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204272&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247638&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247637&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,
product_option,fXNHcvjAcC1RsL8H,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,fXNHcvjAcC1RsL8H,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,fXNHcvjAcC1RsL8H,,,,,,,,,,,,,,Color,French Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,fXNHcvjAcC1RsL8H,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,fXNHcvjAcC1RsL8H,,,,,,,,,,,,,,Color,Graphite Grey,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,fXNHcvjAcC1RsL8H,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,fXNHcvjAcC1RsL8H,,,,,,,,,,QD12_70695_70694,10,Black,One Size,,,,,,,,,,,,,,
product_variation,fXNHcvjAcC1RsL8H,,,,,,,,,,QD12_70696_70694,10,French Navy,One Size,,,,,,,,,,,,,,
product_variation,fXNHcvjAcC1RsL8H,,,,,,,,,,QD12_70697_70694,10,Graphite Grey,One Size,,,,,,,,,,,,,,
product,8gtv9ZZfZ3dNSydr,Businessrugzak voor laptop,"Combinatie van 600D/1680D polyester. Gemakkelijk toegankelijke EasyPocket™ voor decoratie. Gewatteerd vak voor laptop van max. 15,6. Afzonderlijke tabletzak. Plaats voor USB-sticks. Interne organizer. Gewatteerde achterkant, schouderbanden en handgreep. Aanpasbare schouderbanden.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=204275&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Quadra,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204275&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204277&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=204276&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=247643&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,
product_option,8gtv9ZZfZ3dNSydr,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,8gtv9ZZfZ3dNSydr,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,8gtv9ZZfZ3dNSydr,,,,,,,,,,QD269_70699_70698,48.18,Black,One Size,,,,,,,,,,,,,,
