type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8
product,8eaz7FecwdSIGODA,Antibacterieel gezichtsmasker wasbaar & herbruikbaar,"Neus, mond, kingebied: PROLEN®Siltex antibacteriële vezels met zilverionen kunnen kleine deeltjes uit de lucht filteren. <br/>Wanggebied: het gebreide gaas maakt luchtcirculatie mogelijk. <br/>Zacht, licht en ademend, zeer comfortabel om te dragen en ideaal voor mensen met een gevoelige huid. <br/>Past goed achter de oren en kan urenlang gedragen worden. <br/>Herbruikbaar: PROLEN®Siltex behoudt zijn antibacteriële eigenschappen tot 20 wasbeurten. Dit masker laat gemakkelijk lucht binnen en voorkomt dat er vocht binnendringt, waardoor u gemakkelijker kunt ademen terwijl u stof en andere vervuilende stoffen buiten houdt. Individueel verpakt. <br/>Alleen met de hand wassen en aan de lucht drogen. <br/>Afmetingen: 22 x 10 cm. <br/>PROLEN®Siltex is een polypropyleengaren dat behandeld is met een permanent antibacterieel additief op basis van zilverionen. Getest en gecertificeerd op Klebsiella Pneumoniae, Staphyloccucus Aureus en Escherichia Coli. <br/>Veelzijdig: vermindert het risico op het inademen van gassen, schadelijke geuren, pollen, rook, stof en andere schadelijke deeltjes voor ziekenhuizen, scholen, reizen, schoonmaken, schilderen, bouw of buitenactiviteiten. <br/>Niet-medisch. <br/>RESULT Essentiële Hygiëneproducten kunnen samen met PBM's worden gebruikt door gezondheidswerkers, maar RESULT geeft geen garanties dat ze de overdracht of infectie van ziekten of virussen kunnen voorkomen.",,Result,Accessoires,Masques,,,,,,,,,,,,,,,,
product_option,8eaz7FecwdSIGODA,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,
product_option,8eaz7FecwdSIGODA,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,
product_variation,8eaz7FecwdSIGODA,,,,,,,RV009X_67642_67641,3.76,Black,One Size,,,,,,,,,,,,
product,cScuC0Hgln5u7kCx,Men s long sleeve tailored Oxford shirt,"70% katoen / 30% polyester oxford. Getailleerd. Verstevigde Kent kraag met versterkte punten. Verstelbare manchetten met afgeronde hoeken. Easy Care. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5941, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=387673&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Russell,Kleding,Overhemd,,,,,,,,,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387673&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=387672&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Color,Oxford Blue,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,
product_option,cScuC0Hgln5u7kCx,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,,,,
