type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14
product,XBi7LUEmP04p03Wo,Reflecterende strook,"100% polyester. Spandex. Gemaakt van een elastisch en reflecterend signalisatiemateriaal van 5 cm breed. Twee gespjes voor een betere afstelling. Te dragen rond de taille en op de schouders. Ideaal voor evenementen op de weg, voor veiligheidsagenten, fietsers enz.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=265824&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Yoko,Headwear & Accessoires,Hoed en accessoires,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265824&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265843&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265844&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=265867&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Color,Hi Vis Orange,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Color,Hi Vis Yellow,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Color,Lime,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Color,Pink,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,XBi7LUEmP04p03Wo,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,XBi7LUEmP04p03Wo,,,,,,,,,,,YHVW064_77788_77787,7.84,Hi Vis Orange,One Size,,,,,,,,,,,,,,
product_variation,XBi7LUEmP04p03Wo,,,,,,,,,,,YHVW064_77789_77787,7.84,Hi Vis Yellow,One Size,,,,,,,,,,,,,,
product_variation,XBi7LUEmP04p03Wo,,,,,,,,,,,YHVW064_77790_77787,7.84,Lime,One Size,,,,,,,,,,,,,,
