type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25
product,qNw7fPOe4RQyhCk3,Unisex espadrilles.,100% katoencanvas. Zolen van gevulkaniseerd rubber en jute. Gemaakt in Frankrijk.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200181&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kariban,Schoenen & Accessoires,Schoenen Lifestyle / Leisure,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200181&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200185&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200183&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200182&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200186&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200187&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=200184&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382845&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382846&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382847&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382848&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382849&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382850&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382851&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382852&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382853&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=382854&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=452053&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,36 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,37 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,38 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,39 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,40 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,41 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,42 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,43 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,44 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,45 EU,RADIOBUTTONS,TRUE,,,,,,,
product_option,qNw7fPOe4RQyhCk3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,46 EU,RADIOBUTTONS,TRUE,,,,,,,
